"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:1_vc_2_worker_64_rep_1_sharded_true.csv -T 1 60",,,,"Date:","22 Nov 2018 17:12:45 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
1.694,0.694,96.784,0.433,0.0,0.394,0.0,0.0,43363.537,879658.705,0.0,0.0,1088.750,2852.300,1542906765.153
36.426,2.592,58.390,0.0,0.0,2.592,7744908.0,14484900.0,0.0,0.0,0.0,0.0,3975.0,11220.0,1542906766.153
35.056,3.492,58.799,0.0,0.0,2.654,10526363.0,19614407.0,0.0,0.0,0.0,0.0,4688.0,14096.0,1542906767.153
16.469,3.821,76.680,0.0,0.0,3.030,10971243.0,20468208.0,0.0,0.0,0.0,0.0,5223.0,14980.0,1542906768.160
13.218,3.071,80.908,0.0,0.0,2.804,11720317.0,21806257.0,0.0,0.0,0.0,0.0,5864.0,15619.0,1542906769.154
6.203,4.177,86.329,0.0,0.0,3.291,14244692.0,26480678.0,0.0,0.0,0.0,0.0,7242.0,18940.0,1542906770.154
3.995,4.510,88.660,0.0,0.0,2.835,16638388.0,30851744.0,0.0,0.0,0.0,0.0,8520.0,22393.0,1542906771.153
3.969,3.969,89.501,0.0,0.0,2.561,16191246.0,30100241.0,0.0,0.0,0.0,0.0,8196.0,21455.0,1542906772.154
4.387,4.387,88.516,0.0,0.0,2.710,16377194.0,30388808.0,0.0,0.0,0.0,0.0,8361.0,21672.0,1542906773.153
3.571,4.592,89.158,0.0,0.0,2.679,15799160.0,29331869.0,0.0,0.0,0.0,0.0,8025.0,21099.0,1542906774.153
3.213,3.599,89.974,0.0,0.0,3.213,16222076.0,30104154.0,0.0,0.0,0.0,0.0,8289.0,21463.0,1542906775.153
2.561,4.097,90.653,0.0,0.0,2.689,15036330.0,27917900.0,0.0,0.0,0.0,0.0,7668.0,20124.0,1542906776.153
3.181,4.198,90.076,0.0,0.0,2.545,14029762.0,26091619.0,0.0,0.0,0.0,0.0,7146.0,18692.0,1542906777.153
2.850,4.793,89.767,0.0,0.0,2.591,17012833.0,31574462.0,0.0,0.0,0.0,0.0,8590.0,22348.0,1542906778.153
4.076,4.331,89.172,0.0,0.0,2.420,16714218.0,31002280.0,0.0,12288.0,0.0,0.0,8447.0,21980.0,1542906779.153
4.113,4.242,88.689,0.0,0.0,2.956,15666600.0,29097962.0,0.0,0.0,0.0,0.0,7998.0,20740.0,1542906780.154
3.581,4.859,88.747,0.0,0.0,2.813,17258957.0,31995290.0,0.0,0.0,0.0,0.0,8879.0,23008.0,1542906781.153
3.604,4.376,89.447,0.0,0.0,2.574,16994126.0,31542839.0,0.0,0.0,0.0,0.0,8610.0,22269.0,1542906782.153
3.704,3.704,89.783,0.0,0.0,2.810,15984692.0,29673659.0,0.0,0.0,0.0,0.0,8083.0,21062.0,1542906783.153
3.346,3.475,90.347,0.0,0.0,2.831,15037075.0,27931151.0,0.0,0.0,0.0,0.0,7720.0,20204.0,1542906784.153
3.153,4.666,89.281,0.0,0.0,2.900,15677648.0,29096502.0,0.0,0.0,0.0,0.0,8029.0,20748.0,1542906785.154
