"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:9_vc_2_worker_64_rep_2_sharded_false.csv -T 1 30",,,,"Date:","17 Nov 2018 16:34:16 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
1.714,0.902,96.106,0.800,0.0,0.478,0.0,0.0,89968.482,1534729.808,0.0,0.0,1622.036,4387.862,1542472456.922
33.655,2.897,61.793,0.0,0.0,1.655,9049345.0,10518802.0,0.0,0.0,0.0,0.0,3888.0,12256.0,1542472457.923
23.854,2.426,72.102,0.0,0.0,1.617,10185753.0,11828677.0,0.0,8192.0,0.0,0.0,4287.0,13003.0,1542472458.923
8.214,2.868,86.962,0.0,0.0,1.956,12788692.0,14744738.0,0.0,0.0,0.0,0.0,5545.0,16091.0,1542472459.922
5.808,3.157,89.141,0.0,0.0,1.894,13453001.0,15522840.0,0.0,0.0,0.0,0.0,6035.0,16889.0,1542472460.923
3.755,3.129,90.363,0.0,0.0,2.753,14455415.0,16661076.0,0.0,0.0,0.0,0.0,6598.0,17937.0,1542472461.923
4.167,3.283,90.530,0.0,0.0,2.020,14015526.0,16161297.0,0.0,0.0,0.0,0.0,6453.0,17542.0,1542472462.923
4.172,2.781,90.898,0.0,0.0,2.149,14330542.0,16518709.0,0.0,0.0,0.0,0.0,6628.0,17793.0,1542472463.923
2.281,3.295,92.649,0.0,0.0,1.774,13006695.0,14991001.0,0.0,0.0,0.0,0.0,5925.0,16106.0,1542472464.923
3.299,2.538,92.766,0.0,0.0,1.396,13444979.0,15502269.0,0.0,0.0,0.0,0.0,6158.0,16704.0,1542472465.923
3.077,3.205,91.026,0.769,0.0,1.923,14798855.0,17054102.0,0.0,65536.0,0.0,0.0,6797.0,18437.0,1542472466.923
3.201,2.305,92.318,0.0,0.0,2.177,13455698.0,15520154.0,0.0,0.0,0.0,0.0,6214.0,16723.0,1542472467.923
3.666,2.908,91.150,0.0,0.0,2.276,14675360.0,16928163.0,0.0,0.0,0.0,0.0,6790.0,18384.0,1542472468.923
3.133,3.759,91.103,0.0,0.0,2.005,14268452.0,16439923.0,0.0,40960.0,0.0,0.0,6533.0,17756.0,1542472469.923
3.643,3.518,91.080,0.0,0.0,1.759,14154762.0,16317121.0,0.0,0.0,0.0,0.0,6532.0,17648.0,1542472470.923
2.908,3.540,92.035,0.0,0.0,1.517,13653652.0,15755048.0,0.0,0.0,0.0,0.0,6300.0,16939.0,1542472471.923
2.311,2.567,93.325,0.0,0.0,1.797,13700447.0,15786464.0,0.0,0.0,0.0,0.0,6245.0,16992.0,1542472472.923
3.680,2.792,91.371,0.0,0.0,2.157,13208042.0,15228994.0,0.0,0.0,0.0,0.0,6062.0,16431.0,1542472473.923
2.302,2.813,93.223,0.0,0.0,1.662,14324958.0,16515369.0,0.0,0.0,0.0,0.0,6543.0,17727.0,1542472474.923
3.426,2.411,92.259,0.0,0.0,1.904,14048309.0,16191980.0,0.0,0.0,0.0,0.0,6397.0,17474.0,1542472475.923
3.676,3.422,91.001,0.0,0.0,1.901,14657281.0,16899820.0,0.0,0.0,0.0,0.0,6696.0,18121.0,1542472476.923
3.713,3.201,91.549,0.0,0.0,1.536,13763695.0,15874563.0,0.0,0.0,0.0,0.0,6375.0,17172.0,1542472477.923
3.270,3.648,91.195,0.0,0.0,1.887,14815697.0,17071207.0,0.0,0.0,0.0,0.0,6780.0,18415.0,1542472478.923
2.949,2.692,93.077,0.0,0.0,1.282,14507250.0,16717479.0,0.0,0.0,0.0,0.0,6587.0,18093.0,1542472479.923
2.545,3.053,92.875,0.0,0.0,1.527,13567532.0,15636334.0,0.0,0.0,0.0,0.0,6181.0,16944.0,1542472480.923
2.828,2.699,93.316,0.0,0.0,1.157,14667824.0,16912574.0,0.0,0.0,0.0,0.0,6690.0,18186.0,1542472481.923
3.295,3.169,92.015,0.0,0.0,1.521,14763525.0,17014057.0,0.0,0.0,0.0,0.0,6789.0,18389.0,1542472482.923
3.885,3.634,90.977,0.0,0.0,1.504,14873437.0,17141476.0,0.0,0.0,0.0,0.0,6839.0,18500.0,1542472483.923
2.915,3.169,92.142,0.0,0.0,1.774,14457183.0,16677067.0,0.0,0.0,0.0,0.0,6633.0,17982.0,1542472484.923
3.262,3.137,91.468,0.0,0.0,2.133,13659938.0,15745563.0,0.0,0.0,0.0,0.0,6260.0,16902.0,1542472485.923
2.033,3.177,93.774,0.0,0.0,1.017,11806643.0,13606219.0,0.0,0.0,0.0,0.0,5421.0,14741.0,1542472486.923
