"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_16_worker_64_rep_2.csv -T 1 60",,,,"Date:","03 Nov 2018 12:11:35 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
2.754,1.725,94.889,0.281,0.0,0.352,0.0,0.0,29843.040,592698.164,1541247095.888
33.795,2.632,61.911,0.0,0.0,1.662,6799288.0,6628701.0,0.0,0.0,1541247096.889
30.652,1.803,66.158,0.0,0.0,1.387,6122129.0,5966431.0,0.0,0.0,1541247097.889
3.431,1.271,94.790,0.0,0.0,0.508,6786875.0,6631294.0,0.0,24576.0,1541247098.889
3.924,1.646,93.924,0.0,0.0,0.506,6499988.0,6355398.0,0.0,0.0,1541247099.889
4.707,1.399,93.257,0.0,0.0,0.636,6610497.0,6453253.0,0.0,0.0,1541247100.889
2.258,1.380,95.483,0.0,0.0,0.878,6358543.0,6213004.0,0.0,0.0,1541247101.889
1.508,1.131,96.608,0.0,0.0,0.754,6810897.0,6641613.0,0.0,0.0,1541247102.889
1.011,1.264,97.345,0.0,0.0,0.379,6643324.0,6500091.0,0.0,0.0,1541247103.889
1.899,1.139,96.456,0.0,0.0,0.506,6795177.0,6623058.0,0.0,0.0,1541247104.889
1.128,1.629,96.491,0.0,0.0,0.752,6452312.0,6311194.0,0.0,0.0,1541247105.889
1.892,1.135,96.091,0.0,0.0,0.883,6665067.0,6505355.0,0.0,0.0,1541247106.889
1.135,1.639,96.721,0.0,0.0,0.504,7076448.0,6918495.0,0.0,0.0,1541247107.889
1.259,1.511,96.725,0.0,0.0,0.504,6293834.0,6143570.0,0.0,0.0,1541247108.889
1.142,1.396,96.701,0.0,0.0,0.761,6829535.0,6666035.0,0.0,0.0,1541247109.889
