"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_24_worker_64_rep_3.csv -T 1 60",,,,"Date:","03 Nov 2018 12:51:01 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
2.831,1.795,94.767,0.232,0.0,0.374,0.0,0.0,24220.657,524118.873,1541249461.013
34.573,2.755,60.606,0.0,0.0,2.066,6810102.0,6641400.0,0.0,0.0,1541249462.014
26.359,1.359,70.652,0.0,0.0,1.630,6420073.0,6262993.0,0.0,0.0,1541249463.014
6.897,1.788,90.677,0.0,0.0,0.639,6322691.0,6224335.0,0.0,0.0,1541249464.014
3.308,1.145,95.038,0.0,0.0,0.509,6722121.0,6601282.0,0.0,12288.0,1541249465.014
4.707,1.399,93.003,0.0,0.0,0.891,6826620.0,6688462.0,0.0,0.0,1541249466.014
1.017,0.889,97.713,0.0,0.0,0.381,6335561.0,6211515.0,0.0,0.0,1541249467.014
0.507,1.141,97.592,0.0,0.0,0.760,6522924.0,6383326.0,0.0,0.0,1541249468.014
1.010,1.641,96.970,0.0,0.0,0.379,6936309.0,6800833.0,0.0,0.0,1541249469.014
2.018,1.135,96.217,0.0,0.0,0.631,6566857.0,6431060.0,0.0,0.0,1541249470.014
1.132,1.761,96.604,0.0,0.0,0.503,6666266.0,6546909.0,0.0,0.0,1541249471.014
1.643,1.517,96.334,0.0,0.0,0.506,6491387.0,6368887.0,0.0,0.0,1541249472.014
1.263,1.010,97.222,0.0,0.0,0.505,5976901.0,5837671.0,0.0,0.0,1541249473.014
1.008,1.259,96.725,0.0,0.0,1.008,6892494.0,6777538.0,0.0,0.0,1541249474.014
1.496,1.995,95.885,0.0,0.0,0.623,6463245.0,6345130.0,0.0,0.0,1541249475.014
0.764,1.019,97.834,0.0,0.0,0.382,6338448.0,6206338.0,0.0,0.0,1541249476.014
1.256,1.508,96.608,0.0,0.0,0.628,6770842.0,6649399.0,0.0,0.0,1541249477.014
1.008,1.259,96.725,0.0,0.0,1.008,6700494.0,6562996.0,0.0,0.0,1541249478.014
1.258,1.384,96.604,0.0,0.0,0.755,6683961.0,6562935.0,0.0,0.0,1541249479.014
1.540,0.899,96.662,0.770,0.0,0.128,6788650.0,6649074.0,0.0,73728.0,1541249480.014
1.136,0.884,97.096,0.0,0.0,0.884,6564314.0,6445222.0,0.0,61440.0,1541249481.014
1.877,1.252,95.995,0.0,0.0,0.876,6358739.0,6243837.0,0.0,0.0,1541249482.014
1.264,1.391,96.839,0.0,0.0,0.506,6457444.0,6334240.0,0.0,0.0,1541249483.014
0.638,0.765,98.087,0.0,0.0,0.510,6509593.0,6393788.0,0.0,0.0,1541249484.014
0.763,0.891,97.583,0.0,0.0,0.763,6728276.0,6609108.0,0.0,0.0,1541249485.014
0.885,1.138,97.345,0.0,0.0,0.632,6310632.0,6186032.0,0.0,0.0,1541249486.014
1.004,1.757,96.612,0.0,0.0,0.627,6408222.0,6284669.0,0.0,0.0,1541249487.014
1.269,1.015,97.335,0.0,0.0,0.381,6510738.0,6410979.0,0.0,0.0,1541249488.014
0.762,1.144,97.586,0.0,0.0,0.508,6803089.0,6676363.0,0.0,0.0,1541249489.014
1.509,0.881,96.981,0.0,0.0,0.629,6459202.0,6332251.0,0.0,0.0,1541249490.014
1.138,1.138,97.092,0.0,0.0,0.632,6574426.0,6406156.0,0.0,4313088.0,1541249491.014
1.015,1.015,97.462,0.0,0.0,0.508,6381107.0,6312319.0,0.0,0.0,1541249492.014
1.010,1.136,97.222,0.0,0.0,0.631,6596486.0,6462924.0,0.0,0.0,1541249493.014
0.510,1.019,97.834,0.0,0.0,0.637,6727845.0,6600835.0,0.0,0.0,1541249494.014
1.018,1.018,97.328,0.0,0.0,0.636,6312528.0,6181287.0,0.0,0.0,1541249495.014
1.253,1.754,96.241,0.0,0.0,0.752,6714356.0,6592748.0,0.0,8192.0,1541249496.014
1.261,1.639,96.595,0.0,0.0,0.504,6726211.0,6574379.0,0.0,0.0,1541249497.014
0.759,0.886,97.468,0.0,0.0,0.886,6297475.0,6199319.0,0.0,0.0,1541249498.014
1.248,1.248,96.130,0.0,0.0,1.373,6425049.0,6308201.0,0.0,0.0,1541249499.014
0.635,1.017,97.713,0.0,0.0,0.635,6558067.0,6437906.0,0.0,0.0,1541249500.014
