"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_0:1_vc_48_worker_16_rep_3.csv -T 1 60",,,,"Date:","03 Nov 2018 14:34:32 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
5.173,11.493,80.367,0.525,0.0,2.443,0.0,0.0,1541255672.020
2.020,8.081,88.889,0.0,0.0,1.010,464832.0,12779326.0,1541255673.021
0.0,4.255,94.681,0.0,0.0,1.064,450494.0,12500854.0,1541255674.021
1.053,3.158,94.737,0.0,0.0,1.053,485907.0,12694802.0,1541255675.021
2.041,6.122,90.816,0.0,0.0,1.020,490907.0,12498859.0,1541255676.021
2.041,7.143,89.796,0.0,0.0,1.020,488063.0,12502431.0,1541255677.021
1.042,4.167,93.750,0.0,0.0,1.042,493407.0,12497434.0,1541255678.021
2.083,5.208,92.708,0.0,0.0,0.0,488012.0,12501854.0,1541255679.021
2.020,7.071,89.899,0.0,0.0,1.010,496303.0,12499772.0,1541255680.021
1.042,5.208,92.708,0.0,0.0,1.042,469223.0,12694523.0,1541255681.021
2.041,6.122,89.796,0.0,0.0,2.041,465857.0,12501006.0,1541255682.021
1.064,4.255,94.681,0.0,0.0,0.0,489082.0,12498995.0,1541255683.021
2.020,5.051,90.909,0.0,0.0,2.020,488400.0,12500015.0,1541255684.021
2.020,7.071,89.899,0.0,0.0,1.010,471780.0,12500879.0,1541255685.021
2.062,5.155,92.784,0.0,0.0,0.0,463755.0,12499750.0,1541255686.021
0.0,7.292,91.667,0.0,0.0,1.042,475265.0,12499830.0,1541255687.020
2.041,5.102,91.837,0.0,0.0,1.020,501239.0,12499981.0,1541255688.021
2.083,5.208,92.708,0.0,0.0,0.0,492829.0,12500333.0,1541255689.021
1.031,6.186,92.784,0.0,0.0,0.0,477051.0,12500519.0,1541255690.021
0.0,5.263,94.737,0.0,0.0,0.0,490484.0,12498822.0,1541255691.021
3.093,5.155,90.722,0.0,0.0,1.031,494021.0,12500030.0,1541255692.021
1.042,4.167,93.750,0.0,0.0,1.042,495006.0,12499644.0,1541255693.021
1.020,5.102,90.816,0.0,0.0,3.061,518399.0,12500557.0,1541255694.021
2.041,8.163,82.653,6.122,0.0,1.020,507920.0,12499372.0,1541255695.021
1.042,6.250,91.667,0.0,0.0,1.042,525677.0,12499756.0,1541255696.021
1.031,6.186,91.753,0.0,0.0,1.031,502228.0,12500624.0,1541255697.021
0.0,7.368,91.579,0.0,0.0,1.053,509617.0,12500787.0,1541255698.021
0.0,5.376,94.624,0.0,0.0,0.0,501888.0,12500199.0,1541255699.021
1.042,4.167,93.750,0.0,0.0,1.042,507674.0,12499762.0,1541255700.020
2.020,8.081,88.889,0.0,0.0,1.010,523433.0,12497599.0,1541255701.021
1.053,4.211,93.684,0.0,0.0,1.053,505818.0,12502239.0,1541255702.021
2.105,5.263,92.632,0.0,0.0,0.0,516623.0,12499169.0,1541255703.021
2.041,9.184,88.776,0.0,0.0,0.0,519196.0,12500722.0,1541255704.021
2.083,5.208,92.708,0.0,0.0,0.0,520966.0,12500152.0,1541255705.021
0.0,6.186,92.784,0.0,0.0,1.031,522176.0,12499616.0,1541255706.021
2.083,4.167,92.708,0.0,0.0,1.042,519391.0,12499760.0,1541255707.021
1.053,7.368,91.579,0.0,0.0,0.0,511221.0,12501302.0,1541255708.021
1.031,5.155,92.784,0.0,0.0,1.031,502498.0,12498364.0,1541255709.021
2.041,7.143,89.796,0.0,0.0,1.020,490498.0,12695628.0,1541255710.021
0.0,8.081,90.909,0.0,0.0,1.010,484768.0,12501080.0,1541255711.021
2.041,5.102,91.837,0.0,0.0,1.020,490023.0,12498442.0,1541255712.021
1.053,7.368,91.579,0.0,0.0,0.0,474937.0,12500294.0,1541255713.021
2.041,5.102,91.837,0.0,0.0,1.020,475034.0,12498447.0,1541255714.021
0.0,5.208,93.750,0.0,0.0,1.042,476210.0,12502121.0,1541255715.021
1.031,7.216,91.753,0.0,0.0,0.0,481704.0,12499268.0,1541255716.021
2.0,7.0,90.0,0.0,0.0,1.0,470183.0,12501161.0,1541255717.021
0.0,6.316,93.684,0.0,0.0,0.0,493777.0,12694867.0,1541255718.021
3.061,8.163,88.776,0.0,0.0,0.0,494787.0,12499633.0,1541255719.021
1.042,4.167,93.750,0.0,0.0,1.042,483601.0,12500122.0,1541255720.021
1.020,7.143,91.837,0.0,0.0,0.0,476109.0,12499435.0,1541255721.021
1.031,6.186,91.753,0.0,0.0,1.031,490576.0,12500975.0,1541255722.021
2.020,7.071,88.889,0.0,0.0,2.020,487596.0,12499204.0,1541255723.021
0.0,9.901,90.099,0.0,0.0,0.0,481062.0,12500905.0,1541255724.021
1.075,4.301,91.398,2.151,0.0,1.075,472701.0,12499757.0,1541255725.021
1.0,8.0,90.0,0.0,0.0,1.0,470054.0,12499944.0,1541255726.021
0.0,6.250,93.750,0.0,0.0,0.0,488730.0,12498934.0,1541255727.021
3.061,6.122,89.796,0.0,0.0,1.020,492598.0,12500991.0,1541255728.021
0.0,7.292,92.708,0.0,0.0,0.0,472310.0,12500259.0,1541255729.021
0.0,7.071,90.909,0.0,0.0,2.020,461164.0,12499990.0,1541255730.021
3.125,6.250,89.583,0.0,0.0,1.042,472181.0,12498843.0,1541255731.021
1.020,6.122,91.837,0.0,0.0,1.020,476504.0,12695971.0,1541255732.021
