"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_1:0_vc_4_worker_64_rep_2.csv -T 1 60",,,,"Date:","03 Nov 2018 10:38:22 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
2.535,1.495,95.134,0.595,0.0,0.242,0.0,0.0,66106.034,1084075.629,1541241502.187
39.052,5.160,53.278,0.0,0.0,2.510,12082483.0,11705772.0,0.0,0.0,1541241503.188
34.051,4.576,58.277,0.0,0.0,3.096,16361144.0,15922547.0,0.0,0.0,1541241504.188
20.0,4.133,73.600,0.0,0.0,2.267,17899616.0,17370449.0,0.0,0.0,1541241505.188
3.964,4.092,89.514,0.0,0.0,2.430,19469941.0,18899009.0,0.0,0.0,1541241506.188
3.796,3.403,91.230,0.0,0.0,1.571,19911189.0,19321244.0,0.0,12288.0,1541241507.188
3.608,4.124,90.206,0.0,0.0,2.062,19229867.0,18654078.0,0.0,0.0,1541241508.187
4.872,4.615,88.205,0.0,0.0,2.308,21158465.0,20556118.0,0.0,0.0,1541241509.188
3.209,4.493,90.244,0.0,0.0,2.054,20267719.0,19659632.0,0.0,0.0,1541241510.187
4.177,4.937,89.241,0.0,0.0,1.646,19194198.0,18639338.0,0.0,0.0,1541241511.188
4.481,4.866,89.245,0.0,0.0,1.408,20580104.0,19971835.0,0.0,0.0,1541241512.187
4.204,3.949,89.809,0.0,0.0,2.038,19004149.0,18457148.0,0.0,0.0,1541241513.188
5.793,4.660,87.028,0.0,0.0,2.519,21266673.0,20629444.0,0.0,0.0,1541241514.188
4.066,4.574,89.072,0.0,0.0,2.287,20234143.0,19637925.0,0.0,0.0,1541241515.188
4.331,3.949,90.191,0.0,0.0,1.529,19267279.0,18690288.0,0.0,0.0,1541241516.188
4.738,4.225,88.476,0.0,0.0,2.561,18855494.0,18300300.0,0.0,0.0,1541241517.188
4.087,3.831,89.911,0.0,0.0,2.171,18728722.0,18178555.0,0.0,0.0,1541241518.188
3.807,4.188,89.848,0.0,0.0,2.157,19039231.0,18490703.0,0.0,0.0,1541241519.188
4.066,4.193,89.199,0.0,0.0,2.541,21101231.0,20473977.0,0.0,0.0,1541241520.188
3.462,4.103,90.256,0.0,0.0,2.179,20027654.0,19417343.0,0.0,0.0,1541241521.188
4.489,4.738,88.155,0.249,0.0,2.369,19460180.0,18875726.0,0.0,69632.0,1541241522.188
3.581,4.476,90.281,0.0,0.0,1.662,18831636.0,18298409.0,0.0,0.0,1541241523.187
3.093,4.510,90.722,0.0,0.0,1.675,19948371.0,19399366.0,0.0,0.0,1541241524.188
4.172,3.793,89.633,0.0,0.0,2.402,19364802.0,18796360.0,0.0,0.0,1541241525.188
4.304,4.557,88.734,0.0,0.0,2.405,19725619.0,19130166.0,0.0,0.0,1541241526.188
3.974,4.487,90.0,0.0,0.0,1.538,20888774.0,20291494.0,0.0,0.0,1541241527.187
3.894,4.899,89.447,0.0,0.0,1.759,18580183.0,18040852.0,0.0,0.0,1541241528.188
3.969,3.841,90.141,0.0,0.0,2.049,20114631.0,19519926.0,0.0,0.0,1541241529.188
3.497,3.497,90.933,0.0,0.0,2.073,20938088.0,20320228.0,0.0,0.0,1541241530.188
3.807,4.188,89.594,0.0,0.0,2.411,19892546.0,19307422.0,0.0,0.0,1541241531.188
3.571,3.571,90.179,0.0,0.0,2.679,18813786.0,18264355.0,0.0,0.0,1541241532.188
3.531,4.918,88.398,1.135,0.0,2.018,18826500.0,18273599.0,0.0,11988992.0,1541241533.188
3.954,4.082,90.561,0.0,0.0,1.403,18341998.0,17822197.0,0.0,0.0,1541241534.187
4.204,4.204,89.554,0.0,0.0,2.038,20309975.0,19710260.0,0.0,0.0,1541241535.187
3.567,4.076,89.809,0.0,0.0,2.548,20134982.0,19542616.0,0.0,0.0,1541241536.187
3.457,3.329,91.037,0.0,0.0,2.177,19049390.0,18491162.0,0.0,0.0,1541241537.188
3.974,4.487,90.128,0.0,0.0,1.410,18085784.0,17571776.0,0.0,0.0,1541241538.188
3.894,5.151,89.196,0.0,0.0,1.759,17793303.0,17276927.0,0.0,0.0,1541241539.188
2.824,3.723,91.528,0.0,0.0,1.926,18691361.0,18143189.0,0.0,0.0,1541241540.188
3.061,4.337,90.561,0.0,0.0,2.041,18279310.0,17746511.0,0.0,0.0,1541241541.187
3.630,4.881,88.986,0.0,0.0,2.503,19553850.0,18979016.0,0.0,0.0,1541241542.188
3.444,3.954,91.071,0.0,0.0,1.531,18321722.0,17785299.0,0.0,0.0,1541241543.188
4.271,5.025,88.945,0.0,0.0,1.759,19438488.0,18862455.0,0.0,0.0,1541241544.188
4.489,4.613,88.778,0.0,0.0,2.120,18902249.0,18343227.0,0.0,0.0,1541241545.188
4.056,4.563,89.734,0.0,0.0,1.648,19356756.0,18796322.0,0.0,0.0,1541241546.188
4.108,3.851,90.116,0.0,0.0,1.926,19908914.0,19322684.0,0.0,0.0,1541241547.188
2.919,4.188,90.228,0.0,0.0,2.665,18816478.0,18245530.0,0.0,0.0,1541241548.188
3.431,4.193,89.962,0.0,0.0,2.414,19613251.0,19060652.0,0.0,0.0,1541241549.188
3.422,4.816,89.354,0.0,0.0,2.408,19684288.0,19088043.0,0.0,0.0,1541241550.188
3.737,3.222,91.495,0.0,0.0,1.546,19137539.0,18592069.0,0.0,0.0,1541241551.187
3.157,4.798,89.899,0.253,0.0,1.894,18635357.0,18084146.0,0.0,49152.0,1541241552.188
4.151,4.906,88.553,0.0,0.0,2.390,19586125.0,19023470.0,0.0,0.0,1541241553.188
3.333,3.974,90.897,0.0,0.0,1.795,18767436.0,18209253.0,0.0,57344.0,1541241554.188
3.325,4.220,90.665,0.0,0.0,1.790,18914739.0,18375432.0,0.0,0.0,1541241555.188
4.242,4.113,89.717,0.0,0.0,1.928,19315041.0,18749680.0,0.0,0.0,1541241556.187
5.412,4.253,88.531,0.0,0.0,1.804,19686877.0,19080107.0,0.0,0.0,1541241557.188
3.827,3.954,90.689,0.0,0.0,1.531,18661767.0,18135779.0,0.0,0.0,1541241558.187
4.304,4.177,89.367,0.0,0.0,2.152,19674702.0,19106089.0,0.0,0.0,1541241559.188
3.321,4.215,90.932,0.0,0.0,1.533,18594147.0,18047036.0,0.0,0.0,1541241560.188
3.944,3.053,90.331,0.0,0.0,2.672,19075727.0,18501946.0,0.0,0.0,1541241561.188
4.391,4.768,88.833,0.0,0.0,2.008,18773160.0,18219140.0,0.0,0.0,1541241562.189
