"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_16_worker_32_rep_1.csv -T 1 60",,,,"Date:","03 Nov 2018 12:05:23 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
2.786,1.754,94.819,0.291,0.0,0.349,0.0,0.0,30976.229,611686.653,1541246723.149
30.028,2.617,65.840,0.0,0.0,1.515,5944150.0,5780303.0,0.0,0.0,1541246724.151
24.129,1.475,73.324,0.0,0.0,1.072,6530257.0,6357225.0,0.0,8192.0,1541246725.151
3.266,1.005,94.975,0.0,0.0,0.754,6513822.0,6352424.0,0.0,0.0,1541246726.151
3.448,0.511,95.402,0.0,0.0,0.639,6535740.0,6369197.0,0.0,0.0,1541246727.151
3.295,1.267,95.057,0.0,0.0,0.380,6704884.0,6533094.0,0.0,0.0,1541246728.151
1.142,1.396,97.081,0.0,0.0,0.381,6735896.0,6555563.0,0.0,0.0,1541246729.151
1.008,1.259,96.977,0.0,0.0,0.756,6622560.0,6454570.0,0.0,12288.0,1541246730.151
1.006,1.132,97.233,0.0,0.0,0.629,6422622.0,6262569.0,0.0,0.0,1541246731.151
1.006,0.881,97.107,0.0,0.0,1.006,6535737.0,6366986.0,0.0,0.0,1541246732.151
1.009,1.009,97.226,0.0,0.0,0.757,6795670.0,6613248.0,0.0,0.0,1541246733.151
2.528,1.138,95.702,0.0,0.0,0.632,6661465.0,6486789.0,0.0,0.0,1541246734.151
0.636,0.509,98.346,0.0,0.0,0.509,6553980.0,6386638.0,0.0,0.0,1541246735.151
1.519,1.139,96.835,0.0,0.0,0.506,6591859.0,6414291.0,0.0,0.0,1541246736.151
1.122,1.496,96.633,0.0,0.0,0.748,6377887.0,6214191.0,0.0,0.0,1541246737.151
0.631,1.387,97.604,0.0,0.0,0.378,6527016.0,6359224.0,0.0,0.0,1541246738.151
0.759,1.013,97.595,0.0,0.0,0.633,6641969.0,6470949.0,0.0,0.0,1541246739.151
1.125,1.250,96.750,0.0,0.0,0.875,6479511.0,6318003.0,0.0,0.0,1541246740.151
0.881,1.258,97.358,0.0,0.0,0.503,6616575.0,6440924.0,0.0,0.0,1541246741.151
0.886,1.013,97.595,0.0,0.0,0.506,6858970.0,6678734.0,0.0,0.0,1541246742.151
1.248,1.124,96.380,0.250,0.0,0.999,6564380.0,6399390.0,0.0,69632.0,1541246743.151
1.136,0.758,96.970,0.0,0.0,1.136,6751869.0,6567536.0,0.0,0.0,1541246744.151
0.758,1.136,97.475,0.0,0.0,0.631,6775988.0,6601004.0,0.0,0.0,1541246745.151
1.004,1.004,96.989,0.0,0.0,1.004,6501818.0,6333120.0,0.0,57344.0,1541246746.151
0.756,1.008,97.481,0.0,0.0,0.756,6595816.0,6431819.0,0.0,0.0,1541246747.151
1.135,1.009,97.226,0.0,0.0,0.631,6701400.0,6525053.0,0.0,0.0,1541246748.151
0.881,1.132,97.233,0.0,0.0,0.755,6592716.0,6420543.0,0.0,0.0,1541246749.151
1.373,1.248,96.629,0.0,0.0,0.749,6615151.0,6445738.0,0.0,0.0,1541246750.151
1.005,1.633,96.734,0.0,0.0,0.628,6517668.0,6347668.0,0.0,0.0,1541246751.151
1.387,0.757,97.352,0.0,0.0,0.504,6425421.0,6266904.0,0.0,0.0,1541246752.151
1.377,1.001,96.871,0.0,0.0,0.751,6423622.0,6259306.0,0.0,0.0,1541246753.151
1.252,1.377,96.370,0.0,0.0,1.001,6750059.0,6564686.0,0.0,0.0,1541246754.151
0.759,0.885,97.851,0.0,0.0,0.506,6534469.0,6364198.0,0.0,0.0,1541246755.151
1.250,1.375,96.750,0.0,0.0,0.625,6495413.0,6333141.0,0.0,4317184.0,1541246756.151
1.006,1.006,97.358,0.0,0.0,0.629,6523818.0,6354344.0,0.0,0.0,1541246757.151
0.875,1.625,96.750,0.0,0.0,0.750,6443478.0,6285010.0,0.0,0.0,1541246758.151
1.142,0.508,97.843,0.0,0.0,0.508,6267411.0,6110609.0,0.0,0.0,1541246759.151
0.884,1.136,97.727,0.0,0.0,0.253,6420512.0,6251662.0,0.0,0.0,1541246760.151
1.139,0.886,97.468,0.0,0.0,0.506,6643007.0,6470119.0,0.0,0.0,1541246761.151
1.504,1.504,96.742,0.0,0.0,0.251,6750327.0,6578974.0,0.0,0.0,1541246762.151
0.759,1.138,97.598,0.0,0.0,0.506,6730877.0,6550935.0,0.0,0.0,1541246763.151
1.267,0.634,97.845,0.0,0.0,0.253,6515899.0,6356727.0,0.0,0.0,1541246764.151
1.006,1.384,97.107,0.0,0.0,0.503,6707579.0,6534020.0,0.0,0.0,1541246765.151
1.010,0.631,97.601,0.0,0.0,0.758,6391128.0,6225290.0,0.0,0.0,1541246766.151
1.255,1.380,96.863,0.0,0.0,0.502,6698453.0,6521410.0,0.0,0.0,1541246767.151
1.252,1.502,96.746,0.0,0.0,0.501,6959894.0,6774112.0,0.0,0.0,1541246768.151
1.131,1.382,96.985,0.0,0.0,0.503,6667103.0,6489235.0,0.0,0.0,1541246769.151
0.882,1.511,97.103,0.0,0.0,0.504,6753807.0,6577171.0,0.0,0.0,1541246770.151
0.631,0.883,97.730,0.0,0.0,0.757,6372923.0,6206964.0,0.0,0.0,1541246771.151
1.009,0.883,97.478,0.0,0.0,0.631,6617628.0,6440725.0,0.0,0.0,1541246772.151
1.498,1.498,96.005,0.375,0.0,0.624,6511857.0,6344691.0,0.0,49152.0,1541246773.151
1.392,1.013,96.835,0.0,0.0,0.759,6767413.0,6596633.0,0.0,0.0,1541246774.151
1.382,1.256,97.111,0.0,0.0,0.251,6656876.0,6484609.0,0.0,0.0,1541246775.151
1.134,1.259,96.725,0.0,0.0,0.882,6628544.0,6457966.0,0.0,0.0,1541246776.151
0.631,1.136,97.727,0.0,0.0,0.505,6637568.0,6464603.0,0.0,0.0,1541246777.151
1.631,1.129,96.236,0.0,0.0,1.004,6603072.0,6436977.0,0.0,0.0,1541246778.151
0.632,1.391,97.598,0.0,0.0,0.379,6532789.0,6361050.0,0.0,0.0,1541246779.151
1.375,1.125,96.750,0.0,0.0,0.750,6568879.0,6400537.0,0.0,0.0,1541246780.151
1.005,1.508,96.985,0.0,0.0,0.503,6716645.0,6541350.0,0.0,0.0,1541246781.151
