"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_16_worker_32_rep_2.csv -T 1 60",,,,"Date:","03 Nov 2018 12:06:56 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
2.778,1.746,94.838,0.288,0.0,0.350,0.0,0.0,30684.204,606764.509,1541246816.577
36.264,2.610,59.341,0.0,0.0,1.786,6774030.0,6593220.0,0.0,12288.0,1541246817.578
13.761,1.835,84.010,0.0,0.0,0.393,6603278.0,6390029.0,0.0,0.0,1541246818.578
2.522,1.261,95.334,0.0,0.0,0.883,6332463.0,6209486.0,0.0,0.0,1541246819.578
2.934,0.638,95.536,0.0,0.0,0.893,6428675.0,6254996.0,0.0,0.0,1541246820.578
3.929,1.267,93.916,0.0,0.0,0.887,6682093.0,6498492.0,0.0,0.0,1541246821.578
0.887,1.267,97.338,0.0,0.0,0.507,6371939.0,6209306.0,0.0,12288.0,1541246822.578
1.014,0.760,97.719,0.0,0.0,0.507,6729577.0,6544825.0,0.0,0.0,1541246823.578
1.382,1.256,96.985,0.0,0.0,0.377,6716064.0,6535826.0,0.0,0.0,1541246824.578
1.389,1.263,97.096,0.0,0.0,0.253,6685811.0,6502384.0,0.0,0.0,1541246825.578
1.373,1.124,96.504,0.0,0.0,0.999,6704283.0,6525741.0,0.0,0.0,1541246826.578
2.264,1.006,96.101,0.0,0.0,0.629,6698512.0,6520722.0,0.0,0.0,1541246827.578
1.008,1.259,97.355,0.0,0.0,0.378,6425577.0,6262448.0,0.0,0.0,1541246828.578
1.768,1.136,96.465,0.0,0.0,0.631,6605081.0,6426870.0,0.0,0.0,1541246829.578
1.757,1.129,96.487,0.0,0.0,0.627,6595602.0,6428341.0,0.0,0.0,1541246830.578
0.882,1.134,97.355,0.0,0.0,0.630,6554034.0,6387491.0,0.0,0.0,1541246831.578
0.881,1.258,97.107,0.0,0.0,0.755,6776151.0,6598080.0,0.0,0.0,1541246832.578
0.888,0.761,97.970,0.0,0.0,0.381,6634504.0,6464208.0,0.0,0.0,1541246833.578
1.009,0.757,97.100,0.252,0.0,0.883,6370583.0,6210350.0,0.0,73728.0,1541246834.578
0.758,0.884,97.475,0.0,0.0,0.884,6803014.0,6621481.0,0.0,0.0,1541246835.578
1.014,0.887,97.719,0.0,0.0,0.380,6680739.0,6505301.0,0.0,0.0,1541246836.578
1.875,1.250,96.250,0.0,0.0,0.625,6799669.0,6617558.0,0.0,0.0,1541246837.578
1.008,1.008,97.607,0.0,0.0,0.378,6316308.0,6155159.0,0.0,0.0,1541246838.578
0.763,0.636,98.092,0.0,0.0,0.509,6559652.0,6387881.0,0.0,0.0,1541246839.578
1.377,1.001,96.871,0.0,0.0,0.751,6577570.0,6405754.0,0.0,0.0,1541246840.578
0.762,0.762,97.967,0.0,0.0,0.508,6604525.0,6431104.0,0.0,0.0,1541246841.578
1.384,1.006,97.233,0.0,0.0,0.377,6884744.0,6702640.0,0.0,0.0,1541246842.578
0.759,0.885,97.724,0.0,0.0,0.632,6256093.0,6098008.0,0.0,0.0,1541246843.578
1.252,2.378,96.120,0.0,0.0,0.250,6780635.0,6605327.0,0.0,0.0,1541246844.578
1.382,1.131,96.859,0.0,0.0,0.628,6942438.0,6752919.0,0.0,0.0,1541246845.578
0.632,1.011,97.598,0.0,0.0,0.759,6514974.0,6350599.0,0.0,0.0,1541246846.578
1.0,1.500,96.500,0.0,0.0,1.0,6519214.0,6354000.0,0.0,0.0,1541246847.578
0.757,1.135,97.226,0.0,0.0,0.883,6532914.0,6363489.0,0.0,4169728.0,1541246848.578
0.877,1.253,96.992,0.0,0.0,0.877,6654813.0,6478533.0,0.0,0.0,1541246849.578
0.885,1.138,97.598,0.0,0.0,0.379,6872580.0,6688812.0,0.0,0.0,1541246850.578
0.884,1.010,97.475,0.0,0.0,0.631,6498596.0,6336002.0,0.0,0.0,1541246851.578
1.621,1.122,96.509,0.0,0.0,0.748,6286939.0,6136181.0,0.0,0.0,1541246852.578
0.382,0.892,98.217,0.0,0.0,0.510,6662565.0,6485356.0,0.0,0.0,1541246853.578
0.885,1.011,97.598,0.0,0.0,0.506,6475626.0,6301820.0,0.0,0.0,1541246854.578
1.256,1.131,96.985,0.0,0.0,0.628,6749504.0,6575409.0,0.0,0.0,1541246855.578
0.632,0.885,97.724,0.0,0.0,0.759,6810775.0,6630878.0,0.0,0.0,1541246856.578
0.877,1.128,96.992,0.0,0.0,1.003,6444618.0,6272809.0,0.0,0.0,1541246857.578
0.887,0.760,97.972,0.0,0.0,0.380,6556803.0,6385410.0,0.0,0.0,1541246858.578
1.006,1.258,96.855,0.0,0.0,0.881,6405721.0,6239887.0,0.0,0.0,1541246859.578
1.128,1.378,96.867,0.0,0.0,0.627,6521069.0,6350820.0,0.0,0.0,1541246860.578
0.630,1.008,97.481,0.0,0.0,0.882,6629994.0,6460590.0,0.0,0.0,1541246861.578
1.378,1.378,96.742,0.0,0.0,0.501,6837541.0,6656383.0,0.0,0.0,1541246862.578
