"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_0:1_vc_56_worker_64_rep_3.csv -T 1 60",,,,"Date:","03 Nov 2018 15:21:17 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
2.071,2.607,93.506,0.264,0.0,1.552,0.0,0.0,1541258477.363
1.523,1.015,96.447,0.0,0.0,1.015,3351570.0,132282.0,1541258478.364
1.515,1.010,95.960,0.0,0.0,1.515,4616702.0,159079.0,1541258479.364
1.010,2.020,96.465,0.0,0.0,0.505,4446767.0,161919.0,1541258480.364
2.030,1.015,95.939,0.0,0.0,1.015,4230532.0,162416.0,1541258481.364
0.510,1.020,96.939,0.0,0.0,1.531,4266153.0,157864.0,1541258482.364
1.010,2.020,95.960,0.0,0.0,1.010,4381793.0,162696.0,1541258483.364
1.515,2.020,94.949,0.0,0.0,1.515,4478304.0,174749.0,1541258484.364
1.005,1.508,95.980,0.0,0.0,1.508,4298622.0,162182.0,1541258485.364
0.508,2.030,95.939,0.0,0.0,1.523,4214406.0,164345.0,1541258486.364
1.515,1.515,95.960,0.0,0.0,1.010,4293166.0,159874.0,1541258487.364
1.493,1.990,95.025,0.0,0.0,1.493,4424047.0,157379.0,1541258488.364
0.500,2.500,95.500,0.0,0.0,1.500,4375477.0,156386.0,1541258489.364
1.010,1.515,95.960,0.0,0.0,1.515,4172758.0,163025.0,1541258490.364
0.505,3.030,95.455,0.0,0.0,1.010,4276664.0,161733.0,1541258491.364
1.523,0.508,96.954,0.0,0.0,1.015,4246964.0,156211.0,1541258492.364
1.020,1.020,96.939,0.0,0.0,1.020,4441040.0,161174.0,1541258493.364
1.005,2.513,95.477,0.0,0.0,1.005,4700141.0,166953.0,1541258494.364
1.015,1.523,96.447,0.0,0.0,1.015,4473907.0,170804.0,1541258495.364
2.020,3.030,94.444,0.0,0.0,0.505,4175633.0,167439.0,1541258496.364
1.493,2.488,94.527,0.0,0.0,1.493,4319537.0,160026.0,1541258497.364
1.0,2.0,95.500,0.0,0.0,1.500,4266683.0,155549.0,1541258498.364
1.508,2.010,94.975,0.0,0.0,1.508,4340952.0,166700.0,1541258499.364
1.005,2.513,95.477,0.0,0.0,1.005,4341592.0,166144.0,1541258500.364
0.513,0.513,96.923,0.0,0.0,2.051,4342590.0,166524.0,1541258501.364
0.508,2.538,95.939,0.0,0.0,1.015,4375195.0,169853.0,1541258502.364
1.508,2.010,95.477,0.0,0.0,1.005,4594889.0,180972.0,1541258503.364
1.508,2.010,95.477,0.0,0.0,1.005,4294267.0,175358.0,1541258504.364
1.500,2.0,95.0,0.0,0.0,1.500,4334498.0,177339.0,1541258505.364
1.515,1.515,95.455,0.0,0.0,1.515,4477761.0,172759.0,1541258506.364
1.020,1.020,96.939,0.0,0.0,1.020,4483060.0,171039.0,1541258507.364
2.0,2.0,94.0,1.0,0.0,1.0,4304378.0,169652.0,1541258508.364
1.020,1.020,96.939,0.0,0.0,1.020,4320055.0,170422.0,1541258509.364
1.0,2.500,95.0,0.0,0.0,1.500,4299018.0,172815.0,1541258510.364
1.010,3.030,94.444,0.0,0.0,1.515,4320528.0,174329.0,1541258511.364
1.010,1.515,95.960,0.0,0.0,1.515,4286447.0,167787.0,1541258512.364
2.488,1.493,94.527,0.0,0.0,1.493,4419485.0,172634.0,1541258513.364
1.508,2.513,94.975,0.0,0.0,1.005,4544615.0,181606.0,1541258514.364
1.010,1.515,95.960,0.0,0.0,1.515,4319932.0,175813.0,1541258515.364
2.513,2.513,93.467,0.0,0.0,1.508,4292716.0,180412.0,1541258516.364
2.010,2.513,94.472,0.0,0.0,1.005,4355002.0,180275.0,1541258517.364
0.500,2.500,95.0,0.0,0.0,2.0,4369566.0,172795.0,1541258518.364
0.508,2.030,96.447,0.0,0.0,1.015,4276488.0,166427.0,1541258519.364
2.020,2.020,94.949,0.0,0.0,1.010,4372083.0,172273.0,1541258520.364
0.505,3.030,95.960,0.0,0.0,0.505,4367635.0,166847.0,1541258521.364
1.005,2.010,95.477,0.0,0.0,1.508,4234527.0,159008.0,1541258522.364
1.500,1.0,95.500,0.0,0.0,2.0,4294059.0,158390.0,1541258523.364
1.031,1.546,97.423,0.0,0.0,0.0,4416267.0,165182.0,1541258524.364
1.005,2.010,95.980,0.0,0.0,1.005,4440011.0,162390.0,1541258525.364
1.015,1.523,96.447,0.0,0.0,1.015,4347772.0,159350.0,1541258526.364
1.554,0.0,97.409,0.0,0.0,1.036,4464752.0,168778.0,1541258527.364
1.500,2.0,95.500,0.0,0.0,1.0,4271973.0,156583.0,1541258528.364
1.010,1.515,96.465,0.0,0.0,1.010,4325275.0,160768.0,1541258529.364
2.020,1.515,95.960,0.0,0.0,0.505,4260828.0,160688.0,1541258530.364
1.010,2.020,95.960,0.0,0.0,1.010,4369553.0,159801.0,1541258531.364
1.010,1.515,95.960,0.0,0.0,1.515,4402620.0,162738.0,1541258532.364
1.508,2.010,95.477,0.0,0.0,1.005,4253337.0,165943.0,1541258533.364
1.508,2.010,95.477,0.0,0.0,1.005,4369274.0,165062.0,1541258534.364
1.515,1.515,95.960,0.0,0.0,1.010,4378234.0,165703.0,1541258535.364
1.0,3.500,94.500,0.0,0.0,1.0,4368001.0,169807.0,1541258536.364
1.0,2.0,95.0,0.0,0.0,2.0,4713400.0,171506.0,1541258537.364
