"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_1:0_vc_56_worker_64_rep_2.csv -T 1 60",,,,"Date:","03 Nov 2018 15:01:07 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
3.037,1.945,94.445,0.151,0.0,0.422,0.0,0.0,14933.949,423684.167,1541257267.662
45.911,10.617,40.316,0.0,0.0,3.156,18658944.0,17340437.0,0.0,12288.0,1541257268.666
46.463,9.015,40.499,0.0,0.0,4.022,31043416.0,30514468.0,0.0,0.0,1541257269.663
21.582,6.971,69.571,0.0,0.0,1.877,34869917.0,34372035.0,0.0,0.0,1541257270.663
6.021,7.984,84.686,0.0,0.0,1.309,36114543.0,35564286.0,0.0,0.0,1541257271.663
8.684,7.368,82.763,0.0,0.0,1.184,34826520.0,34275300.0,0.0,0.0,1541257272.663
9.150,7.059,82.614,0.0,0.0,1.176,33792336.0,33284860.0,0.0,0.0,1541257273.664
8.021,8.021,82.794,0.0,0.0,1.164,34819413.0,34306439.0,0.0,0.0,1541257274.663
6.397,6.919,85.117,0.0,0.0,1.567,35090763.0,34509114.0,0.0,0.0,1541257275.663
6.983,6.983,84.717,0.0,0.0,1.318,33719423.0,33213519.0,0.0,0.0,1541257276.663
6.409,5.741,86.515,0.0,0.0,1.335,34574944.0,34056334.0,0.0,0.0,1541257277.663
6.736,7.513,84.197,0.0,0.0,1.554,34049940.0,33569085.0,0.0,0.0,1541257278.663
6.983,6.061,86.166,0.0,0.0,0.791,31546751.0,30985419.0,0.0,0.0,1541257279.663
6.878,7.011,85.450,0.0,0.0,0.661,33272691.0,32774242.0,0.0,0.0,1541257280.663
7.180,6.919,84.856,0.0,0.0,1.044,34183756.0,33723048.0,0.0,0.0,1541257281.663
6.242,6.109,86.985,0.0,0.0,0.664,32294622.0,31818006.0,0.0,0.0,1541257282.663
7.974,5.882,85.098,0.0,0.0,1.046,34041206.0,33449539.0,0.0,8192.0,1541257283.663
6.684,7.077,84.797,0.0,0.0,1.442,33776042.0,33257143.0,0.0,0.0,1541257284.663
5.859,6.391,86.951,0.0,0.0,0.799,33533834.0,33001041.0,0.0,0.0,1541257285.663
5.952,6.614,86.376,0.0,0.0,1.058,33083100.0,32623289.0,0.0,0.0,1541257286.663
6.658,6.397,85.248,0.392,0.0,1.305,32812771.0,32290372.0,0.0,73728.0,1541257287.663
6.291,6.422,86.107,0.0,0.0,1.180,32711905.0,32237921.0,0.0,0.0,1541257288.663
6.417,5.882,86.631,0.0,0.0,1.070,34952724.0,34379835.0,0.0,0.0,1541257289.663
5.333,4.667,88.267,0.0,0.0,1.733,32451922.0,31993652.0,0.0,0.0,1541257290.663
7.273,7.143,84.416,0.0,0.0,1.169,32600697.0,32126785.0,0.0,0.0,1541257291.663
5.060,6.125,87.883,0.0,0.0,0.932,33041513.0,32540649.0,0.0,0.0,1541257292.663
7.752,5.943,85.142,0.0,0.0,1.163,32497512.0,31995918.0,0.0,0.0,1541257293.663
