"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:0_vc_16_rep_3.csv -T 1 80",,,,"Date:","06 Dec 2018 10:39:07 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
4.216,6.081,86.258,0.535,0.0,2.910,0.0,0.0,1544092747.754
4.040,10.101,82.828,0.0,0.0,3.030,834634.0,25262775.0,1544092748.755
4.103,8.718,83.590,0.0,0.0,3.590,828950.0,25000667.0,1544092749.755
3.608,9.278,84.536,0.0,0.0,2.577,824614.0,24997702.0,1544092750.755
3.627,8.290,84.456,0.0,0.0,3.627,824104.0,24999963.0,1544092751.755
4.688,8.333,83.854,0.0,0.0,3.125,828990.0,25002655.0,1544092752.755
2.564,8.718,84.615,0.0,0.0,4.103,823138.0,24998489.0,1544092753.755
3.077,9.231,84.103,0.0,0.0,3.590,822866.0,25001331.0,1544092754.755
5.181,7.254,83.938,0.0,0.0,3.627,829492.0,24999186.0,1544092755.755
3.093,7.216,84.536,0.0,0.0,5.155,823120.0,24999686.0,1544092756.755
3.627,9.845,83.420,0.0,0.0,3.109,823954.0,24999701.0,1544092757.755
4.145,8.808,81.347,1.554,0.0,4.145,842060.0,25391506.0,1544092758.755
3.646,6.771,86.458,0.0,0.0,3.125,823404.0,24998568.0,1544092759.755
3.590,8.205,84.615,0.0,0.0,3.590,823072.0,25001133.0,1544092760.755
4.615,9.744,82.051,0.0,0.0,3.590,829208.0,24999702.0,1544092761.755
4.569,9.645,80.711,0.0,0.0,5.076,824090.0,25000681.0,1544092762.755
4.688,6.771,84.896,0.0,0.0,3.646,822874.0,24998474.0,1544092763.755
4.124,8.763,83.505,0.0,0.0,3.608,829328.0,25001377.0,1544092764.755
5.208,7.292,84.375,0.0,0.0,3.125,823886.0,25001202.0,1544092765.755
