"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_0:1_vc_2_rep_2.csv -T 1 90",,,,"Date:","21 Oct 2018 18:18:47 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
7.496,13.818,67.021,10.330,0.0,1.334,0.0,0.0,1540145927.313
2.062,5.155,91.753,0.0,0.0,1.031,441566.0,12524062.0,1540145928.314
2.041,7.143,90.816,0.0,0.0,0.0,446630.0,12696203.0,1540145929.314
2.062,6.186,89.691,0.0,0.0,2.062,445369.0,12500225.0,1540145930.314
2.083,5.208,88.542,3.125,0.0,1.042,439706.0,12500050.0,1540145931.314
0.0,6.250,93.750,0.0,0.0,0.0,439710.0,12500124.0,1540145932.314
2.062,6.186,90.722,0.0,0.0,1.031,445277.0,12500202.0,1540145933.314
1.031,6.186,92.784,0.0,0.0,0.0,439638.0,12500134.0,1540145934.314
2.105,3.158,94.737,0.0,0.0,0.0,439651.0,12500147.0,1540145935.314
3.093,6.186,89.691,0.0,0.0,1.031,444422.0,12473209.0,1540145936.315
2.041,7.143,90.816,0.0,0.0,0.0,440608.0,12525697.0,1540145937.314
2.062,6.186,91.753,0.0,0.0,0.0,441115.0,12501052.0,1540145938.314
3.158,5.263,91.579,0.0,0.0,0.0,445541.0,12498939.0,1540145939.314
3.158,4.211,91.579,0.0,0.0,1.053,447829.0,12695748.0,1540145940.314
1.042,7.292,90.625,0.0,0.0,1.042,447190.0,12695296.0,1540145941.314
1.075,6.452,92.473,0.0,0.0,0.0,452055.0,12695580.0,1540145942.314
0.0,6.186,92.784,0.0,0.0,1.031,440452.0,12499338.0,1540145943.314
1.053,4.211,94.737,0.0,0.0,0.0,439631.0,12500126.0,1540145944.314
1.053,4.211,93.684,0.0,0.0,1.053,439633.0,12500130.0,1540145945.314
2.105,5.263,92.632,0.0,0.0,0.0,445319.0,12500167.0,1540145946.314
1.031,7.216,90.722,0.0,0.0,1.031,439594.0,12500089.0,1540145947.314
1.064,4.255,93.617,0.0,0.0,1.064,439686.0,12500104.0,1540145948.314
3.191,4.255,92.553,0.0,0.0,0.0,445805.0,12498865.0,1540145949.314
0.0,5.263,93.684,0.0,0.0,1.053,446566.0,12696114.0,1540145950.314
