"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_1:0_vc_2_worker_16_rep_3.csv -T 1 60",,,,"Date:","03 Nov 2018 06:25:50 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
0.316,0.242,99.334,0.086,0.0,0.022,0.0,0.0,10560.754,151869.120,1541226350.239
42.996,5.270,50.347,0.0,0.0,1.387,9050927.0,8809331.0,0.0,0.0,1541226351.240
33.425,4.932,59.726,0.0,0.0,1.918,13439346.0,13024101.0,0.0,0.0,1541226352.240
11.952,5.843,81.673,0.0,0.0,0.531,18215417.0,17697593.0,0.0,16384.0,1541226353.240
10.743,5.040,83.687,0.0,0.0,0.531,20124675.0,19521648.0,0.0,0.0,1541226354.240
5.774,5.643,88.320,0.0,0.0,0.262,22257156.0,21598658.0,0.0,0.0,1541226355.240
5.291,5.291,88.889,0.0,0.0,0.529,21546243.0,20913315.0,0.0,0.0,1541226356.240
5.519,6.045,87.911,0.0,0.0,0.526,21184049.0,20546288.0,0.0,0.0,1541226357.240
5.505,6.291,87.549,0.0,0.0,0.655,21510350.0,20882953.0,0.0,0.0,1541226358.240
5.585,5.186,88.963,0.0,0.0,0.266,21342107.0,20710204.0,0.0,0.0,1541226359.240
6.160,6.422,86.894,0.0,0.0,0.524,22372540.0,21663644.0,0.0,0.0,1541226360.240
5.577,6.355,87.419,0.0,0.0,0.649,21925329.0,21320758.0,0.0,0.0,1541226361.240
5.722,5.202,88.296,0.0,0.0,0.780,21290669.0,20636184.0,0.0,0.0,1541226362.240
6.355,6.096,87.160,0.0,0.0,0.389,22042317.0,21415583.0,0.0,0.0,1541226363.240
5.836,5.040,88.859,0.0,0.0,0.265,21859285.0,21191704.0,0.0,0.0,1541226364.240
6.447,5.658,86.842,0.789,0.0,0.263,22251836.0,21611195.0,0.0,98304.0,1541226365.240
7.652,5.707,86.252,0.0,0.0,0.389,20680706.0,20059720.0,0.0,0.0,1541226366.240
6.005,4.961,88.251,0.0,0.0,0.783,21505086.0,20870035.0,0.0,0.0,1541226367.240
5.236,6.545,87.696,0.0,0.0,0.524,21622796.0,20978943.0,0.0,12288.0,1541226368.240
