"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_0:1_vc_16_worker_64_rep_1.csv -T 1 60",,,,"Date:","03 Nov 2018 08:33:13 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.238,1.938,96.071,0.531,0.0,0.222,0.0,0.0,1541233993.078
3.125,7.292,86.458,0.0,0.0,3.125,448417.0,12508647.0,1541233994.079
2.041,7.143,89.796,0.0,0.0,1.020,447655.0,12499644.0,1541233995.079
2.083,6.250,90.625,0.0,0.0,1.042,444654.0,12500249.0,1541233996.079
1.0,8.0,90.0,0.0,0.0,1.0,443736.0,12501543.0,1541233997.079
2.041,5.102,90.816,0.0,0.0,2.041,446490.0,12497569.0,1541233998.079
1.042,4.167,92.708,0.0,0.0,2.083,442223.0,12501208.0,1541233999.079
0.0,6.186,92.784,0.0,0.0,1.031,443256.0,12498506.0,1541234000.079
3.191,5.319,90.426,0.0,0.0,1.064,449306.0,12500147.0,1541234001.079
1.020,6.122,90.816,0.0,0.0,2.041,447987.0,12696009.0,1541234002.079
1.031,6.186,91.753,0.0,0.0,1.031,441568.0,12499281.0,1541234003.079
3.061,5.102,89.796,0.0,0.0,2.041,448175.0,12501111.0,1541234004.079
1.053,4.211,94.737,0.0,0.0,0.0,450489.0,12694354.0,1541234005.079
0.0,7.216,90.722,0.0,0.0,2.062,440992.0,12501168.0,1541234006.079
2.062,6.186,91.753,0.0,0.0,0.0,444002.0,12499252.0,1541234007.079
1.087,3.261,95.652,0.0,0.0,0.0,445771.0,12499590.0,1541234008.079
1.020,7.143,90.816,0.0,0.0,1.020,472821.0,13282376.0,1541234009.079
2.062,7.216,88.660,0.0,0.0,2.062,448168.0,12499529.0,1541234010.079
4.124,8.247,86.598,0.0,0.0,1.031,456355.0,12695560.0,1541234011.079
1.053,5.263,93.684,0.0,0.0,0.0,443595.0,12500128.0,1541234012.079
1.020,7.143,90.816,0.0,0.0,1.020,441558.0,12498801.0,1541234013.079
1.020,6.122,90.816,0.0,0.0,2.041,448695.0,12500622.0,1541234014.079
1.031,5.155,92.784,0.0,0.0,1.031,442547.0,12500429.0,1541234015.079
4.124,5.155,89.691,0.0,0.0,1.031,441645.0,12499678.0,1541234016.079
1.042,6.250,89.583,2.083,0.0,1.042,448196.0,12499523.0,1541234017.079
1.031,6.186,92.784,0.0,0.0,0.0,444320.0,12500794.0,1541234018.079
2.062,5.155,91.753,0.0,0.0,1.031,445483.0,12499968.0,1541234019.079
1.010,8.081,89.899,0.0,0.0,1.010,452740.0,12499541.0,1541234020.079
3.093,6.186,89.691,0.0,0.0,1.031,445330.0,12507301.0,1541234021.079
1.010,7.071,90.909,0.0,0.0,1.010,442624.0,12492387.0,1541234022.079
1.010,8.081,88.889,0.0,0.0,2.020,449587.0,12500236.0,1541234023.079
2.041,5.102,89.796,0.0,0.0,3.061,443058.0,12500165.0,1541234024.079
0.0,8.081,89.899,0.0,0.0,2.020,442625.0,12502758.0,1541234025.080
2.041,9.184,87.755,0.0,0.0,1.020,446382.0,12497690.0,1541234026.079
0.0,6.186,92.784,0.0,0.0,1.031,440934.0,12499247.0,1541234027.079
2.020,7.071,89.899,0.0,0.0,1.010,441529.0,12499834.0,1541234028.079
2.062,5.155,91.753,0.0,0.0,1.031,448185.0,12499880.0,1541234029.079
0.0,7.216,91.753,0.0,0.0,1.031,444499.0,12500454.0,1541234030.079
4.167,4.167,90.625,0.0,0.0,1.042,439896.0,12314600.0,1541234031.079
3.093,5.155,90.722,0.0,0.0,1.031,458896.0,12685282.0,1541234032.079
0.0,8.247,90.722,0.0,0.0,1.031,453943.0,12695358.0,1541234033.079
2.020,6.061,90.909,0.0,0.0,1.010,445701.0,12500090.0,1541234034.079
1.042,5.208,93.750,0.0,0.0,0.0,445079.0,12500517.0,1541234035.079
2.041,9.184,88.776,0.0,0.0,0.0,449948.0,12499777.0,1541234036.079
1.031,6.186,91.753,0.0,0.0,1.031,445502.0,12500039.0,1541234037.079
1.010,7.071,90.909,0.0,0.0,1.010,444105.0,12500964.0,1541234038.079
1.042,7.292,90.625,0.0,0.0,1.042,451021.0,12498689.0,1541234039.079
1.020,6.122,90.816,0.0,0.0,2.041,445430.0,12499020.0,1541234040.079
1.042,8.333,89.583,0.0,0.0,1.042,454466.0,12696441.0,1541234041.080
3.061,6.122,89.796,0.0,0.0,1.020,450960.0,12500138.0,1541234042.079
1.020,6.122,91.837,0.0,0.0,1.020,444125.0,12499104.0,1541234043.079
1.020,7.143,91.837,0.0,0.0,0.0,443831.0,12500288.0,1541234044.079
3.093,4.124,91.753,0.0,0.0,1.031,449042.0,12500853.0,1541234045.079
1.042,6.250,90.625,0.0,0.0,2.083,443605.0,12499699.0,1541234046.079
2.0,8.0,87.0,2.0,0.0,1.0,457257.0,12890651.0,1541234047.079
3.030,6.061,89.899,0.0,0.0,1.010,449424.0,12499198.0,1541234048.079
1.042,6.250,92.708,0.0,0.0,0.0,443645.0,12500348.0,1541234049.079
0.0,7.216,91.753,0.0,0.0,1.031,458656.0,12888006.0,1541234050.079
2.041,9.184,87.755,0.0,0.0,1.020,457844.0,12696760.0,1541234051.079
2.041,6.122,90.816,0.0,0.0,1.020,445689.0,12498761.0,1541234052.079
2.062,6.186,91.753,0.0,0.0,0.0,442869.0,12500703.0,1541234053.079
