"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_1:0_vc_2_worker_32_rep_1.csv -T 1 60",,,,"Date:","03 Nov 2018 06:27:17 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
0.330,0.252,99.308,0.086,0.0,0.023,0.0,0.0,10531.253,152335.022,1541226437.429
45.758,5.146,47.149,0.0,0.0,1.947,9526928.0,9230135.0,0.0,0.0,1541226438.430
36.339,4.235,57.377,0.0,0.0,2.049,14606787.0,14178563.0,0.0,0.0,1541226439.430
13.710,5.914,78.898,0.0,0.0,1.478,18573004.0,18026700.0,0.0,0.0,1541226440.430
9.648,5.606,83.963,0.0,0.0,0.782,19508668.0,18898681.0,0.0,0.0,1541226441.430
5.628,5.628,87.958,0.0,0.0,0.785,20770375.0,20180299.0,0.0,0.0,1541226442.430
5.688,5.423,88.360,0.0,0.0,0.529,21715596.0,21060974.0,0.0,0.0,1541226443.430
6.983,5.534,86.693,0.0,0.0,0.791,23113888.0,22447394.0,0.0,0.0,1541226444.430
5.284,5.812,88.375,0.0,0.0,0.528,23333469.0,22647358.0,0.0,12288.0,1541226445.430
4.856,5.643,88.976,0.0,0.0,0.525,21574328.0,20939358.0,0.0,0.0,1541226446.430
6.112,5.852,87.516,0.0,0.0,0.520,21758968.0,21139497.0,0.0,0.0,1541226447.430
5.058,6.355,87.549,0.0,0.0,1.038,21305765.0,20666498.0,0.0,0.0,1541226448.430
7.015,6.122,85.842,0.0,0.0,1.020,20866826.0,20241666.0,0.0,0.0,1541226449.430
4.849,6.553,88.073,0.0,0.0,0.524,22944098.0,22252954.0,0.0,4096.0,1541226450.430
5.812,5.680,88.111,0.0,0.0,0.396,22682156.0,22023385.0,0.0,0.0,1541226451.430
7.979,5.277,85.972,0.0,0.0,0.772,19330665.0,18760367.0,0.0,0.0,1541226452.430
6.821,6.564,85.714,0.0,0.0,0.901,20376428.0,19790458.0,0.0,0.0,1541226453.430
4.052,6.144,88.627,0.0,0.0,1.176,20881325.0,20234373.0,0.0,0.0,1541226454.432
5.563,5.951,87.451,0.259,0.0,0.776,21492540.0,20865445.0,0.0,135168.0,1541226455.430
5.065,6.753,87.662,0.0,0.0,0.519,21532650.0,20917352.0,0.0,0.0,1541226456.430
5.181,5.699,88.601,0.0,0.0,0.518,20140517.0,19542293.0,0.0,0.0,1541226457.430
5.577,5.188,88.586,0.0,0.0,0.649,20629739.0,20005478.0,0.0,0.0,1541226458.430
5.695,4.768,88.742,0.0,0.0,0.795,22202506.0,21525089.0,0.0,0.0,1541226459.430
5.663,6.435,86.744,0.0,0.0,1.158,21989447.0,21368588.0,0.0,0.0,1541226460.430
5.483,5.744,88.120,0.0,0.0,0.653,21381572.0,20744412.0,0.0,0.0,1541226461.430
5.599,5.859,87.760,0.0,0.0,0.781,20728099.0,20111359.0,0.0,0.0,1541226462.430
5.792,6.435,87.259,0.0,0.0,0.515,21192994.0,20566720.0,0.0,0.0,1541226463.430
5.364,6.641,87.229,0.0,0.0,0.766,20324243.0,19735030.0,0.0,0.0,1541226464.430
5.433,6.468,87.322,0.0,0.0,0.776,22531992.0,21867556.0,0.0,0.0,1541226465.430
