"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_16_worker_16_rep_3.csv -T 1 60",,,,"Date:","03 Nov 2018 08:27:28 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
1.291,0.985,97.447,0.074,0.0,0.203,0.0,0.0,8624.588,185809.955,1541233648.139
44.938,6.241,45.770,0.139,0.0,2.913,11887461.0,11597222.0,0.0,65536.0,1541233649.140
25.597,2.918,69.496,0.0,0.0,1.989,13132632.0,12800847.0,0.0,0.0,1541233650.140
12.500,3.351,81.959,0.0,0.0,2.191,13142746.0,12763184.0,0.0,0.0,1541233651.140
2.817,1.665,93.470,0.0,0.0,2.049,13338449.0,12955862.0,0.0,0.0,1541233652.140
2.668,2.795,92.630,0.0,0.0,1.906,13132324.0,12767828.0,0.0,0.0,1541233653.140
3.189,2.551,92.602,0.0,0.0,1.658,13140501.0,12770765.0,0.0,0.0,1541233654.140
5.276,3.015,90.075,0.0,0.0,1.633,13132322.0,12757477.0,0.0,0.0,1541233655.140
2.685,2.558,93.095,0.0,0.0,1.662,13136683.0,12766012.0,0.0,0.0,1541233656.140
2.945,2.049,93.214,0.0,0.0,1.793,13139259.0,12772277.0,0.0,0.0,1541233657.140
3.121,2.622,91.511,0.0,0.0,2.747,13129028.0,12762948.0,0.0,0.0,1541233658.140
2.904,2.399,92.551,0.0,0.0,2.146,13134575.0,12760480.0,0.0,4096.0,1541233659.140
2.767,3.396,91.950,0.0,0.0,1.887,13145012.0,12767700.0,0.0,0.0,1541233660.140
2.922,3.304,92.249,0.0,0.0,1.525,13333695.0,12961409.0,0.0,0.0,1541233661.140
2.393,2.393,92.317,0.0,0.0,2.897,13133476.0,12780170.0,0.0,0.0,1541233662.140
2.908,2.908,92.035,0.0,0.0,2.149,13139289.0,12770081.0,0.0,0.0,1541233663.140
3.046,2.665,92.513,0.0,0.0,1.777,13132976.0,12758559.0,0.0,0.0,1541233664.140
3.666,2.655,92.162,0.0,0.0,1.517,13138962.0,12766746.0,0.0,0.0,1541233665.140
2.185,2.314,93.830,0.0,0.0,1.671,13142285.0,12768336.0,0.0,0.0,1541233666.140
2.023,3.034,92.668,0.0,0.0,2.276,13130281.0,12767965.0,0.0,0.0,1541233667.140
3.157,2.652,92.298,0.0,0.0,1.894,13132698.0,12748167.0,0.0,0.0,1541233668.140
2.915,2.915,92.395,0.0,0.0,1.774,13143537.0,12766662.0,0.0,0.0,1541233669.140
2.665,2.792,92.893,0.0,0.0,1.650,13130330.0,12763600.0,0.0,0.0,1541233670.140
2.893,2.138,92.453,0.0,0.0,2.516,13133660.0,12766571.0,0.0,0.0,1541233671.140
3.431,2.287,92.630,0.0,0.0,1.652,13139435.0,12775349.0,0.0,0.0,1541233672.140
3.312,2.420,91.975,0.0,0.0,2.293,13134998.0,12762339.0,0.0,0.0,1541233673.140
2.287,2.033,93.266,0.0,0.0,2.414,13136198.0,12750302.0,0.0,0.0,1541233674.140
4.209,2.296,92.219,0.0,0.0,1.276,13353918.0,12964933.0,0.0,4096.0,1541233675.140
2.757,3.258,91.729,0.0,0.0,2.256,13136132.0,12768410.0,0.0,0.0,1541233676.140
2.402,2.781,92.794,0.0,0.0,2.023,13127920.0,12758522.0,0.0,0.0,1541233677.140
3.034,2.781,92.541,0.126,0.0,1.517,13143883.0,12772924.0,0.0,0.0,1541233678.140
2.302,2.302,90.537,3.453,0.0,1.407,12765276.0,12411886.0,0.0,16384.0,1541233679.140
1.809,1.938,94.703,0.129,0.0,1.421,13131540.0,12796355.0,0.0,9035776.0,1541233680.140
