"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_16_worker_32_rep_3.csv -T 1 60",,,,"Date:","03 Nov 2018 08:31:47 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
1.306,0.992,97.418,0.074,0.0,0.210,0.0,0.0,8566.870,185942.920,1541233907.015
44.932,6.164,46.027,0.0,0.0,2.877,11728380.0,11395051.0,0.0,0.0,1541233908.016
32.979,4.255,60.239,0.0,0.0,2.527,13128875.0,12771978.0,0.0,0.0,1541233909.016
5.304,2.458,90.427,0.0,0.0,1.811,13142589.0,12790163.0,0.0,0.0,1541233910.016
3.042,2.281,93.156,0.0,0.0,1.521,13342200.0,12989641.0,0.0,0.0,1541233911.016
3.291,2.532,92.405,0.0,0.0,1.772,13148779.0,12809772.0,0.0,0.0,1541233912.017
2.788,2.535,93.409,0.0,0.0,1.267,13326155.0,12981519.0,0.0,0.0,1541233913.016
2.767,3.522,91.950,0.0,0.0,1.761,13135592.0,12792065.0,0.0,0.0,1541233914.016
2.652,2.778,92.803,0.0,0.0,1.768,13131169.0,12786598.0,0.0,0.0,1541233915.016
2.525,2.273,92.929,0.0,0.0,2.273,13139654.0,12804069.0,0.0,0.0,1541233916.016
3.069,2.813,92.711,0.0,0.0,1.407,13135083.0,12803241.0,0.0,0.0,1541233917.016
4.076,2.803,91.592,0.0,0.0,1.529,13130772.0,12786122.0,0.0,0.0,1541233918.016
2.799,2.672,93.384,0.0,0.0,1.145,13140120.0,12789844.0,0.0,0.0,1541233919.016
2.146,2.778,93.308,0.0,0.0,1.768,13135148.0,12801827.0,0.0,0.0,1541233920.016
2.179,1.923,94.487,0.0,0.0,1.410,13128929.0,12792801.0,0.0,16384.0,1541233921.016
2.273,2.652,92.424,0.379,0.0,2.273,13141105.0,12808421.0,0.0,86016.0,1541233922.016
2.522,3.279,93.190,0.0,0.0,1.009,13135859.0,12795103.0,0.0,0.0,1541233923.016
2.516,3.522,92.201,0.0,0.0,1.761,13133566.0,12788026.0,0.0,0.0,1541233924.016
3.161,2.908,92.415,0.0,0.0,1.517,13145698.0,12797872.0,0.0,0.0,1541233925.016
2.414,2.160,93.774,0.0,0.0,1.652,13135299.0,12792420.0,0.0,57344.0,1541233926.016
2.675,2.420,93.376,0.0,0.0,1.529,13135521.0,12795647.0,0.0,0.0,1541233927.016
2.915,2.281,93.156,0.0,0.0,1.648,13137125.0,12796223.0,0.0,0.0,1541233928.016
2.278,2.532,93.165,0.0,0.0,2.025,13135633.0,12796401.0,0.0,0.0,1541233929.016
2.414,2.414,94.028,0.0,0.0,1.144,13132858.0,12800728.0,0.0,0.0,1541233930.016
2.399,2.778,93.056,0.0,0.0,1.768,13136899.0,12800311.0,0.0,0.0,1541233931.016
2.290,2.417,93.639,0.0,0.0,1.654,13135549.0,12795628.0,0.0,0.0,1541233932.016
2.423,2.168,94.005,0.0,0.0,1.403,13139823.0,12795351.0,0.0,0.0,1541233933.016
2.760,3.011,92.221,0.0,0.0,2.008,13141950.0,12791689.0,0.0,0.0,1541233934.016
2.645,3.149,92.317,0.0,0.0,1.889,13137739.0,12792653.0,0.0,0.0,1541233935.016
2.904,2.778,92.929,0.0,0.0,1.389,13135546.0,12791614.0,0.0,32768.0,1541233936.016
