"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_2_worker_16_rep_3.csv -T 1 60",,,,"Date:","03 Nov 2018 06:43:08 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
0.461,0.344,99.070,0.084,0.0,0.040,0.0,0.0,10303.144,155749.759,1541227388.452
45.706,4.294,48.615,0.0,0.0,1.385,9909179.0,9599167.0,0.0,0.0,1541227389.457
28.065,3.951,66.485,0.0,0.0,1.499,13670650.0,13284941.0,0.0,0.0,1541227390.453
10.909,4.026,84.286,0.0,0.0,0.779,13138363.0,12751207.0,0.0,0.0,1541227391.453
5.098,3.268,91.373,0.0,0.0,0.261,13135756.0,12744561.0,0.0,0.0,1541227392.453
3.871,3.742,90.194,1.806,0.0,0.387,12981974.0,12602817.0,0.0,69632.0,1541227393.453
2.972,3.876,93.023,0.0,0.0,0.129,13290825.0,12900346.0,0.0,0.0,1541227394.452
2.999,2.868,93.742,0.0,0.0,0.391,13133492.0,12745307.0,0.0,0.0,1541227395.453
3.881,3.364,92.626,0.0,0.0,0.129,13137279.0,12747533.0,0.0,0.0,1541227396.453
4.516,3.097,92.0,0.0,0.0,0.387,13141713.0,12756155.0,0.0,8192.0,1541227397.453
3.585,3.969,92.190,0.0,0.0,0.256,13139459.0,12752530.0,0.0,0.0,1541227398.453
3.243,2.983,93.515,0.0,0.0,0.259,13134578.0,12746088.0,0.0,0.0,1541227399.453
3.479,3.479,92.655,0.0,0.0,0.387,13217700.0,12829430.0,0.0,0.0,1541227400.456
3.613,3.871,92.0,0.0,0.0,0.516,13056666.0,12670851.0,0.0,0.0,1541227401.453
3.470,3.856,92.545,0.0,0.0,0.129,13137994.0,12749582.0,0.0,8192.0,1541227402.453
2.464,3.891,93.385,0.0,0.0,0.259,13342213.0,12950817.0,0.0,0.0,1541227403.453
3.475,3.475,92.793,0.0,0.0,0.257,13140402.0,12752007.0,0.0,0.0,1541227404.453
3.385,2.734,93.750,0.0,0.0,0.130,13138697.0,12748873.0,0.0,0.0,1541227405.453
2.344,3.516,93.750,0.0,0.0,0.391,13138385.0,12752905.0,0.0,0.0,1541227406.453
3.377,3.117,93.247,0.0,0.0,0.260,13341332.0,12948044.0,0.0,0.0,1541227407.453
3.113,3.113,93.515,0.0,0.0,0.259,13141641.0,12754904.0,0.0,0.0,1541227408.453
3.995,2.964,92.655,0.0,0.0,0.387,13137366.0,12748876.0,0.0,0.0,1541227409.453
4.264,3.747,91.860,0.0,0.0,0.129,13137844.0,12748011.0,0.0,0.0,1541227410.453
3.081,3.851,92.683,0.0,0.0,0.385,13136882.0,12752658.0,0.0,0.0,1541227411.453
4.150,3.891,91.699,0.0,0.0,0.259,13136187.0,12747697.0,0.0,0.0,1541227412.453
3.613,3.613,92.387,0.0,0.0,0.387,13136796.0,12744485.0,0.0,0.0,1541227413.453
3.238,3.109,93.394,0.0,0.0,0.259,13136447.0,12750757.0,0.0,0.0,1541227414.453
3.226,3.484,93.290,0.0,0.0,0.0,13134803.0,12746313.0,0.0,0.0,1541227415.453
3.121,2.991,93.628,0.0,0.0,0.260,13137319.0,12751724.0,0.0,0.0,1541227416.453
2.577,4.124,93.041,0.0,0.0,0.258,13136516.0,12746560.0,0.0,32768.0,1541227417.453
3.708,3.581,92.455,0.0,0.0,0.256,13134775.0,12750551.0,0.0,0.0,1541227418.453
3.856,2.956,92.802,0.0,0.0,0.386,13136333.0,12746550.0,0.0,0.0,1541227419.453
3.359,3.230,93.152,0.0,0.0,0.258,13340360.0,12947264.0,0.0,0.0,1541227420.453
3.351,3.608,92.912,0.0,0.0,0.129,13138002.0,12752312.0,0.0,0.0,1541227421.453
2.480,2.872,94.256,0.131,0.0,0.261,13136793.0,12745959.0,0.0,9650176.0,1541227422.453
