"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_0:1_vc_32_worker_16_rep_2.csv -T 1 60",,,,"Date:","03 Nov 2018 09:35:34 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
0.754,0.873,97.720,0.128,0.0,0.525,0.0,0.0,1541237734.460
1.026,0.513,97.436,0.0,0.0,1.026,3016972.0,111778.0,1541237735.461
2.020,2.020,93.434,0.0,0.0,2.525,4679038.0,165926.0,1541237736.461
2.041,2.551,93.878,0.0,0.0,1.531,4296676.0,159796.0,1541237737.461
2.475,5.446,90.594,0.0,0.0,1.485,4394250.0,155951.0,1541237738.461
1.010,3.030,94.444,0.0,0.0,1.515,4337510.0,158790.0,1541237739.461
1.036,2.073,95.855,0.0,0.0,1.036,4145956.0,153357.0,1541237740.461
0.508,3.046,94.416,0.0,0.0,2.030,4507092.0,159505.0,1541237741.461
1.515,2.525,94.444,0.0,0.0,1.515,4338060.0,151238.0,1541237742.461
2.030,3.553,93.401,0.0,0.0,1.015,4205422.0,151378.0,1541237743.461
1.508,2.513,93.970,0.0,0.0,2.010,4440670.0,155106.0,1541237744.461
1.010,2.525,94.444,0.0,0.0,2.020,4290080.0,148766.0,1541237745.461
2.0,3.500,93.0,0.0,0.0,1.500,4298845.0,154970.0,1541237746.462
1.531,1.531,95.408,0.0,0.0,1.531,4283794.0,151324.0,1541237747.461
0.524,3.141,95.812,0.0,0.0,0.524,4360274.0,151713.0,1541237748.461
0.508,3.046,94.924,0.0,0.0,1.523,4402196.0,152555.0,1541237749.463
2.551,1.020,94.898,0.0,0.0,1.531,4312255.0,152172.0,1541237750.461
1.523,1.523,94.416,0.0,0.0,2.538,4322118.0,151434.0,1541237751.461
0.513,1.538,95.897,0.0,0.0,2.051,4352963.0,151334.0,1541237752.463
2.073,1.554,94.819,0.0,0.0,1.554,4296645.0,154829.0,1541237753.461
1.531,2.041,95.408,0.0,0.0,1.020,4367500.0,153509.0,1541237754.461
1.500,2.500,93.500,0.0,0.0,2.500,4377493.0,154505.0,1541237755.461
1.990,3.483,92.537,0.0,0.0,1.990,4202758.0,152246.0,1541237756.461
1.515,2.525,93.939,0.0,0.0,2.020,4283565.0,152513.0,1541237757.461
1.523,2.538,93.909,0.0,0.0,2.030,4553523.0,158528.0,1541237758.461
1.042,1.042,95.312,1.042,0.0,1.562,4287435.0,156006.0,1541237759.461
1.020,1.531,95.408,0.0,0.0,2.041,4229386.0,150247.0,1541237760.461
0.0,2.073,96.891,0.0,0.0,1.036,4385324.0,156637.0,1541237761.461
0.513,2.051,95.385,0.0,0.0,2.051,4345295.0,155785.0,1541237762.461
2.030,3.046,92.893,0.0,0.0,2.030,4541013.0,160875.0,1541237763.462
0.510,2.041,95.408,0.0,0.0,2.041,4570765.0,161068.0,1541237764.461
3.046,1.523,94.416,0.0,0.0,1.015,4433942.0,159212.0,1541237765.461
2.500,2.500,93.0,0.0,0.0,2.0,4453249.0,151867.0,1541237766.461
1.515,2.525,93.434,0.0,0.0,2.525,4307406.0,150402.0,1541237767.461
1.538,2.051,94.872,0.0,0.0,1.538,4295560.0,154841.0,1541237768.461
1.036,0.518,96.891,0.0,0.0,1.554,4322304.0,154883.0,1541237769.461
2.513,2.513,93.467,0.0,0.0,1.508,4316044.0,154610.0,1541237770.461
2.020,1.515,93.939,0.0,0.0,2.525,4206430.0,155349.0,1541237771.461
1.026,1.538,95.385,0.0,0.0,2.051,4370103.0,154782.0,1541237772.461
1.508,3.015,92.965,0.0,0.0,2.513,4444913.0,154914.0,1541237773.461
1.523,2.538,94.416,0.0,0.0,1.523,4195629.0,150725.0,1541237774.461
1.546,3.093,93.814,0.0,0.0,1.546,4357930.0,156510.0,1541237775.461
0.0,1.554,96.891,0.0,0.0,1.554,4404820.0,150841.0,1541237776.461
1.523,1.523,94.924,0.0,0.0,2.030,4302855.0,154160.0,1541237777.461
2.020,3.535,93.434,0.0,0.0,1.010,4226293.0,149442.0,1541237778.461
1.020,1.531,95.408,0.0,0.0,2.041,4229657.0,149961.0,1541237779.461
1.500,3.0,93.0,0.0,0.0,2.500,4484967.0,160354.0,1541237780.461
1.523,2.538,94.924,0.0,0.0,1.015,4266982.0,147330.0,1541237781.461
1.036,1.554,96.891,0.0,0.0,0.518,4329955.0,150869.0,1541237782.461
2.010,3.015,92.462,0.0,0.0,2.513,4389322.0,157219.0,1541237783.461
2.030,2.030,94.416,0.0,0.0,1.523,4325343.0,153684.0,1541237784.461
1.523,2.030,94.924,0.0,0.0,1.523,4178716.0,149639.0,1541237785.461
2.030,2.538,94.416,0.0,0.0,1.015,4303694.0,155079.0,1541237786.461
2.0,1.500,93.500,0.0,0.0,3.0,4445327.0,152567.0,1541237787.461
1.554,2.073,95.337,0.0,0.0,1.036,4357068.0,150086.0,1541237788.461
1.508,2.513,93.970,0.0,0.0,2.010,4326391.0,154520.0,1541237789.461
1.026,1.538,94.872,0.513,0.0,2.051,4280966.0,151339.0,1541237790.461
1.523,1.523,94.924,0.0,0.0,2.030,4206021.0,151260.0,1541237791.461
1.546,2.062,95.361,0.0,0.0,1.031,4279660.0,156037.0,1541237792.461
1.538,2.564,94.359,0.0,0.0,1.538,4552753.0,160477.0,1541237793.461
2.970,3.465,91.089,0.0,0.0,2.475,5709031.0,197672.0,1541237794.461
