mw,server,worker,rep,write_rt,read_rt,write_tp,read_tp
1,1,8,1,18.256469576719574,65.60790753781951,9644.124603174605,2923.6138497652587
1,1,8,2,20.34412505815675,65.59916601460617,9441.055735312775,2924.2959702660405
1,1,8,3,19.545357822611347,65.55389539187075,9825.13228016749,2926.135579241213
1,1,32,1,15.679770474700055,65.38426382368284,10433.065923317685,2933.9553990610325
1,1,32,2,17.524518268268267,65.46930555555555,10964.817942942944,2929.5
1,1,32,3,17.221669204415686,65.42790818988003,10922.447087933004,2931.764866979656
1,3,8,1,25.1659013943521,21.839408581116327,7634.749085352959,8788.297143974962
1,3,8,2,25.058811945748573,21.834622122122127,7700.8855633802805,8789.781156156156
1,3,8,3,25.51510628586332,21.8173428534168,7535.1161971831,8797.26447574335
1,3,32,1,24.41279488996038,21.828452642783628,7861.486766696275,8793.291555640148
1,3,32,2,24.40214041506295,21.81672313158229,7865.538055661294,8797.217167872097
1,3,32,3,24.03177621283255,21.810476983833148,7867.055555555556,8799.301554979636
2,1,8,1,13.195437290409119,65.48387976004175,14402.166599597584,2927.9465962441313
2,1,8,2,13.578125763842314,65.46580725091289,14140.772775542142,2928.9158841940525
2,1,8,3,13.314395605112155,65.44224243609807,14425.31976302258,2928.745305164319
2,1,32,1,10.820730829420972,65.48541666666667,17745.81210038006,2928.814945226917
2,1,32,2,10.816551605931888,65.49895735524255,17755.519405320814,2929.72848200313
2,1,32,3,10.813631651017218,65.46292970787688,17756.86521909233,2929.9389671361505
2,3,8,1,16.526826263134364,21.825713996944632,11624.988179074448,8792.839308070646
2,3,8,2,16.390254629629627,22.33215571205008,11718.586267605637,8683.527190923318
2,3,8,3,16.870388628064685,21.82700530963559,11394.86169796557,8792.201212832551
2,3,32,1,12.290785285788806,21.848293632163355,15620.515492957747,8790.045919964228
2,3,32,2,12.301755952380953,21.82560348200313,15607.525396825398,8792.732981220657
2,3,32,3,12.43977257992399,21.820904594232058,15443.683450704224,8796.492700648334
