"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:9_vc_2_worker_64_rep_3_sharded_false.csv -T 1 60",,,,"Date:","22 Nov 2018 12:58:27 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
3.079,0.881,95.138,0.348,0.0,0.553,0.0,0.0,36183.429,772721.677,0.0,0.0,1692.693,4647.010,1542891507.534
32.700,2.985,62.958,0.0,0.0,1.357,7233995.0,8422850.0,0.0,0.0,0.0,0.0,3549.0,10229.0,1542891508.535
21.467,2.800,73.733,0.0,0.0,2.0,9870318.0,11461656.0,0.0,0.0,0.0,0.0,4156.0,12540.0,1542891509.535
6.923,3.974,87.308,0.0,0.0,1.795,15077299.0,17382686.0,0.0,0.0,0.0,0.0,6217.0,18729.0,1542891510.535
7.243,3.431,87.039,0.0,0.0,2.287,14287103.0,16467583.0,0.0,0.0,0.0,0.0,6394.0,18036.0,1542891511.535
2.548,3.439,91.975,0.0,0.0,2.038,16753036.0,19300046.0,0.0,0.0,0.0,0.0,7364.0,20697.0,1542891512.535
3.038,3.165,91.646,0.0,0.0,2.152,15545841.0,17928771.0,0.0,0.0,0.0,0.0,6897.0,19312.0,1542891513.539
3.518,4.020,89.573,0.0,0.0,2.889,15241096.0,17561078.0,0.0,12288.0,0.0,0.0,6926.0,19105.0,1542891514.535
2.792,2.538,91.751,0.0,0.0,2.919,16014950.0,18469147.0,0.0,0.0,0.0,0.0,7175.0,19911.0,1542891515.535
2.414,3.177,92.376,0.0,0.0,2.033,15874737.0,18278575.0,0.0,0.0,0.0,0.0,7111.0,19832.0,1542891516.535
4.135,4.261,88.596,0.0,0.0,3.008,15691628.0,18089935.0,0.0,0.0,0.0,0.0,7103.0,19675.0,1542891517.535
2.956,3.085,92.545,0.0,0.0,1.414,15964383.0,18389034.0,0.0,0.0,0.0,0.0,7209.0,19856.0,1542891518.535
3.149,3.275,90.932,0.0,0.0,2.645,16253371.0,18730193.0,0.0,0.0,0.0,0.0,7291.0,20225.0,1542891519.535
3.038,3.165,91.266,0.0,0.0,2.532,16461502.0,18965573.0,0.0,8192.0,0.0,0.0,7415.0,20431.0,1542891520.535
2.672,2.926,92.494,0.0,0.0,1.908,15590546.0,17957915.0,0.0,0.0,0.0,0.0,7008.0,19379.0,1542891521.535
2.420,3.439,92.484,0.0,0.0,1.656,16195164.0,18689544.0,0.0,0.0,0.0,0.0,7285.0,20254.0,1542891522.538
3.699,3.316,90.944,0.0,0.0,2.041,16254417.0,18712936.0,0.0,0.0,0.0,0.0,7282.0,20305.0,1542891523.535
2.290,3.053,92.366,0.0,0.0,2.290,15586430.0,17968110.0,0.0,0.0,0.0,0.0,7014.0,19344.0,1542891524.535
3.549,3.169,89.227,2.281,0.0,1.774,15108445.0,17415250.0,0.0,81920.0,0.0,0.0,6832.0,18990.0,1542891525.535
3.919,2.908,90.645,0.0,0.0,2.528,15619886.0,17999565.0,0.0,0.0,0.0,0.0,7045.0,19538.0,1542891526.535
2.305,3.073,92.446,0.0,0.0,2.177,15857029.0,18275480.0,0.0,0.0,0.0,0.0,7139.0,19756.0,1542891527.535
2.402,3.287,91.909,0.0,0.0,2.402,15729861.0,18125859.0,0.0,0.0,0.0,0.0,7057.0,19524.0,1542891528.535
3.026,4.161,91.047,0.0,0.0,1.765,15813553.0,18238922.0,0.0,0.0,0.0,0.0,7172.0,19842.0,1542891529.535
2.635,4.141,91.343,0.0,0.0,1.882,15046291.0,17335341.0,0.0,8192.0,0.0,0.0,6808.0,18828.0,1542891530.535
2.771,3.652,91.184,0.0,0.0,2.393,16478206.0,18985192.0,0.0,0.0,0.0,0.0,7398.0,20468.0,1542891531.535
2.904,3.535,91.793,0.0,0.0,1.768,15168742.0,17479404.0,0.0,0.0,0.0,0.0,6808.0,18871.0,1542891532.535
3.149,3.149,91.184,0.0,0.0,2.519,16117732.0,18590507.0,0.0,0.0,0.0,0.0,7233.0,20045.0,1542891533.535
3.153,3.405,91.425,0.0,0.0,2.018,16046096.0,18480784.0,0.0,0.0,0.0,0.0,7215.0,19853.0,1542891534.535
3.401,3.275,91.310,0.0,0.0,2.015,15880686.0,18314059.0,0.0,0.0,0.0,0.0,7111.0,19947.0,1542891535.535
2.054,2.824,93.453,0.0,0.0,1.669,15307259.0,17635269.0,0.0,0.0,0.0,0.0,6819.0,19027.0,1542891536.535
2.638,4.397,90.578,0.0,0.0,2.387,17194349.0,19815853.0,0.0,0.0,0.0,0.0,7748.0,21507.0,1542891537.535
3.602,3.975,90.062,0.0,0.0,2.360,15619645.0,17991120.0,0.0,0.0,0.0,0.0,7047.0,19514.0,1542891538.535
2.904,3.157,91.540,0.0,0.0,2.399,15965011.0,18409267.0,0.0,0.0,0.0,0.0,7135.0,19753.0,1542891539.535
2.771,3.904,91.310,0.0,0.0,2.015,16117526.0,18577558.0,0.0,10010624.0,0.0,0.0,7171.0,20042.0,1542891540.535
3.676,2.788,91.381,0.0,0.0,2.155,15681165.0,18063734.0,0.0,0.0,0.0,0.0,7135.0,19695.0,1542891541.535
