"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:0_vc_24_worker_64_rep_1.csv -T 1 80",,,,"Date:","07 Dec 2018 02:37:10 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
4.684,3.669,90.454,0.186,0.0,1.008,0.0,0.0,23069.713,556868.654,0.0,0.0,3599.744,11756.063,1544150230.135
44.895,7.832,44.615,0.0,0.0,2.657,11354610.0,10923202.0,0.0,0.0,0.0,0.0,4935.0,13206.0,1544150231.140
45.927,10.674,39.888,0.0,0.0,3.511,21613078.0,20858552.0,0.0,0.0,0.0,0.0,7730.0,21841.0,1544150232.139
19.464,12.694,63.752,0.0,0.0,4.090,32991239.0,31889513.0,0.0,0.0,0.0,0.0,12554.0,34672.0,1544150233.136
10.714,14.286,70.879,0.0,0.0,4.121,35455550.0,34538914.0,0.0,0.0,0.0,0.0,13466.0,37082.0,1544150234.136
11.187,12.415,71.896,0.0,0.0,4.502,34531043.0,33408327.0,0.0,0.0,0.0,0.0,13480.0,36947.0,1544150235.139
14.325,13.361,68.733,0.0,0.0,3.581,37308154.0,36414239.0,0.0,12288.0,0.0,0.0,13092.0,36832.0,1544150236.136
11.819,12.483,72.377,0.0,0.0,3.320,34862513.0,33703984.0,0.0,0.0,0.0,0.0,13241.0,35979.0,1544150237.136
12.195,13.008,71.545,0.0,0.0,3.252,33431177.0,32528534.0,0.0,0.0,0.0,0.0,12835.0,34753.0,1544150238.136
12.228,12.908,71.739,0.0,0.0,3.125,35325171.0,34166638.0,0.0,0.0,0.0,0.0,13694.0,37087.0,1544150239.136
12.985,13.521,69.746,0.0,0.0,3.748,35304530.0,34215234.0,0.0,0.0,0.0,0.0,13595.0,36815.0,1544150240.136
