"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:0_vc_8_worker_8_rep_3.csv -T 1 80",,,,"Date:","07 Dec 2018 01:37:27 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
3.843,2.847,92.182,0.224,0.0,0.904,0.0,0.0,28937.327,565039.268,0.0,0.0,2837.367,9274.969,1544146647.572
44.766,6.061,47.658,0.0,0.0,1.515,11032219.0,10485713.0,0.0,0.0,0.0,0.0,3282.0,10203.0,1544146648.577
39.781,7.133,51.715,0.0,0.0,1.372,22794303.0,22144182.0,0.0,0.0,0.0,0.0,3740.0,16300.0,1544146649.573
13.387,6.426,79.518,0.0,0.0,0.669,31458880.0,30517938.0,0.0,0.0,0.0,0.0,4860.0,24085.0,1544146650.573
12.318,7.152,79.470,0.0,0.0,1.060,32166899.0,31163846.0,0.0,0.0,0.0,0.0,5128.0,25102.0,1544146651.573
7.115,6.983,85.639,0.0,0.0,0.264,30877850.0,29947716.0,0.0,0.0,0.0,0.0,4715.0,24246.0,1544146652.573
8.366,7.320,83.399,0.0,0.0,0.915,32678374.0,31710396.0,0.0,0.0,0.0,0.0,5156.0,25376.0,1544146653.573
8.058,5.680,85.469,0.0,0.0,0.793,30625464.0,29723089.0,0.0,0.0,0.0,0.0,4902.0,24306.0,1544146654.573
7.540,6.349,85.582,0.0,0.0,0.529,31986917.0,31028178.0,0.0,0.0,0.0,0.0,4995.0,25114.0,1544146655.574
6.873,5.930,86.792,0.0,0.0,0.404,33013150.0,32051225.0,0.0,0.0,0.0,0.0,5110.0,25936.0,1544146656.573
5.660,6.604,86.792,0.0,0.0,0.943,31759693.0,30812416.0,0.0,0.0,0.0,0.0,4919.0,25169.0,1544146657.573
7.378,6.192,86.034,0.0,0.0,0.395,29113740.0,28271756.0,0.0,0.0,0.0,0.0,4620.0,23173.0,1544146658.573
