"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:0_vc_24_worker_16_rep_3.csv -T 1 80",,,,"Date:","07 Dec 2018 02:29:29 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
2.050,2.440,93.720,0.328,0.0,1.462,0.0,0.0,1544149769.779
0.0,0.503,98.995,0.0,0.0,0.503,17314.0,526310.0,1544149770.779
2.020,3.535,91.919,0.0,0.0,2.525,243768.0,7468661.0,1544149771.779
3.109,4.145,89.637,0.0,0.0,3.109,406650.0,12137129.0,1544149772.779
2.030,5.076,87.310,1.015,0.0,4.569,390752.0,11850818.0,1544149773.780
3.030,4.545,88.384,0.0,0.0,4.040,384452.0,11734064.0,1544149774.779
3.980,4.975,86.567,0.0,0.0,4.478,384732.0,11560599.0,1544149775.781
3.571,4.082,89.286,0.0,0.0,3.061,382292.0,11619844.0,1544149776.779
2.551,4.592,89.286,0.0,0.0,3.571,389416.0,11815007.0,1544149777.779
4.592,6.633,84.694,0.0,0.0,4.082,411934.0,12346028.0,1544149778.779
2.551,4.592,88.776,0.0,0.0,4.082,391746.0,11818751.0,1544149779.779
3.015,4.523,87.940,0.0,0.0,4.523,388006.0,11811668.0,1544149780.779
3.535,4.545,88.384,0.0,0.0,3.535,385682.0,11565687.0,1544149781.779
1.538,4.615,88.718,0.0,0.0,5.128,403078.0,12234792.0,1544149782.779
2.094,4.712,90.576,0.0,0.0,2.618,403506.0,12252030.0,1544149783.779
4.523,5.025,87.437,0.0,0.0,3.015,389516.0,11565954.0,1544149784.779
3.500,6.0,86.500,0.0,0.0,4.0,414660.0,12569271.0,1544149785.779
3.046,5.584,88.325,0.0,0.0,3.046,422548.0,12836514.0,1544149786.779
2.500,6.0,86.500,0.0,0.0,5.0,402160.0,11953441.0,1544149787.779
3.0,8.500,86.500,0.0,0.0,2.0,415092.0,12522898.0,1544149788.779
2.030,5.584,88.325,0.0,0.0,4.061,400810.0,12201839.0,1544149789.779
4.103,4.103,88.205,0.0,0.0,3.590,405266.0,12046840.0,1544149790.779
1.554,4.145,90.674,0.0,0.0,3.627,392524.0,11851542.0,1544149791.779
3.030,5.051,89.394,0.0,0.0,2.525,383616.0,11623071.0,1544149792.779
2.073,5.181,88.601,0.0,0.0,4.145,400018.0,11803697.0,1544149793.779
3.535,3.030,87.879,0.0,0.0,5.556,392388.0,11866473.0,1544149794.779
2.0,5.0,87.500,0.0,0.0,5.500,380924.0,11597329.0,1544149795.779
2.564,5.128,88.205,0.0,0.0,4.103,408012.0,12153335.0,1544149796.779
3.960,5.446,86.139,0.0,0.0,4.455,407940.0,12399371.0,1544149797.779
3.109,3.627,89.119,0.0,0.0,4.145,392774.0,11879288.0,1544149798.779
1.990,6.965,87.065,0.0,0.0,3.980,394342.0,11915320.0,1544149799.779
3.141,2.618,90.576,0.0,0.0,3.665,409102.0,12281102.0,1544149800.779
2.051,3.590,89.231,0.0,0.0,5.128,417000.0,12599149.0,1544149801.779
2.577,2.577,90.722,0.0,0.0,4.124,391952.0,11843963.0,1544149802.779
3.109,4.663,88.083,1.036,0.0,3.109,392122.0,11724777.0,1544149803.779
4.082,4.082,88.776,0.0,0.0,3.061,399038.0,12074343.0,1544149804.779
3.535,5.556,87.374,0.0,0.0,3.535,419762.0,12634428.0,1544149805.779
3.125,3.646,89.583,0.0,0.0,3.646,402284.0,11978488.0,1544149806.779
3.093,5.155,89.691,0.0,0.0,2.062,399012.0,12056518.0,1544149807.779
4.103,5.641,88.718,0.0,0.0,1.538,430632.0,13060824.0,1544149808.779
3.571,4.592,88.265,0.0,0.0,3.571,404522.0,11977509.0,1544149809.779
2.051,5.641,89.231,0.0,0.0,3.077,399268.0,12088155.0,1544149810.779
2.073,5.181,90.674,0.0,0.0,2.073,404238.0,12237382.0,1544149811.779
2.073,4.663,90.155,0.0,0.0,3.109,403918.0,12057081.0,1544149812.779
3.141,3.141,90.576,0.0,0.0,3.141,402236.0,12113240.0,1544149813.779
2.083,4.167,91.146,0.0,0.0,2.604,408894.0,12283082.0,1544149814.779
3.571,5.102,87.755,0.0,0.0,3.571,399478.0,11965151.0,1544149815.779
2.618,3.665,91.099,0.0,0.0,2.618,414420.0,12611603.0,1544149816.779
2.073,3.627,89.637,0.0,0.0,4.663,423164.0,12806820.0,1544149817.779
3.483,6.468,85.572,0.0,0.0,4.478,404430.0,12006623.0,1544149818.779
2.985,6.468,87.065,0.0,0.0,3.483,406390.0,12295853.0,1544149819.779
3.046,4.061,88.832,0.0,0.0,4.061,392946.0,11865304.0,1544149820.779
2.577,4.124,89.691,0.0,0.0,3.608,402348.0,11958585.0,1544149821.779
2.577,5.155,89.175,0.0,0.0,3.093,409366.0,12417843.0,1544149822.779
2.604,5.208,89.583,0.0,0.0,2.604,412942.0,12500048.0,1544149823.779
2.538,4.569,87.817,0.0,0.0,5.076,398452.0,11937608.0,1544149824.779
3.046,5.076,88.325,0.0,0.0,3.553,409678.0,12370624.0,1544149825.779
2.030,4.061,88.325,0.0,0.0,5.584,380774.0,11561079.0,1544149826.779
3.015,6.030,86.432,0.0,0.0,4.523,409824.0,12188913.0,1544149827.779
2.073,5.181,89.637,0.0,0.0,3.109,402626.0,12201354.0,1544149828.779
1.538,4.615,89.744,0.0,0.0,4.103,385442.0,11684005.0,1544149829.779
3.608,4.124,89.691,0.0,0.0,2.577,403198.0,11994843.0,1544149830.779
2.513,5.528,87.940,0.0,0.0,4.020,403556.0,12287303.0,1544149831.779
2.564,3.590,88.718,0.0,0.0,5.128,410576.0,12332116.0,1544149832.779
3.553,4.061,86.802,0.0,0.0,5.584,426238.0,12712012.0,1544149833.779
2.041,5.612,87.755,1.020,0.0,3.571,392186.0,11944531.0,1544149834.779
3.015,5.528,87.940,0.0,0.0,3.518,414624.0,12589771.0,1544149835.779
2.564,5.641,88.718,0.0,0.0,3.077,393906.0,11644032.0,1544149836.779
2.513,6.030,87.437,0.0,0.0,4.020,414718.0,12683500.0,1544149837.779
3.553,6.091,85.787,0.0,0.0,4.569,418674.0,12553603.0,1544149838.779
2.020,6.061,86.869,0.0,0.0,5.051,416398.0,12496319.0,1544149839.779
2.538,5.076,88.325,0.0,0.0,4.061,401182.0,12160584.0,1544149840.779
2.525,6.061,87.879,0.0,0.0,3.535,403734.0,12145041.0,1544149841.779
1.523,5.584,88.832,0.0,0.0,4.061,387834.0,11487116.0,1544149842.779
3.535,5.051,86.869,0.0,0.0,4.545,397944.0,12037159.0,1544149843.779
1.493,6.468,86.567,0.0,0.0,5.473,415436.0,12556861.0,1544149844.779
2.538,5.076,87.817,0.0,0.0,4.569,399518.0,11935454.0,1544149845.779
