"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:3_vc_2_worker_64_rep_2_sharded_true.csv -T 1 90",,,,"Date:","21 Nov 2018 18:14:15 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
2.410,0.789,95.994,0.481,0.0,0.326,0.0,0.0,47564.892,1007895.765,0.0,0.0,923.968,2392.511,1542824055.203
41.499,4.685,51.807,0.0,0.0,2.008,6285089.0,9044970.0,0.0,0.0,0.0,0.0,3299.0,8865.0,1542824056.204
41.379,4.377,51.194,0.0,0.0,3.050,8785512.0,12576431.0,0.0,0.0,0.0,0.0,3956.0,11576.0,1542824057.204
34.334,3.525,59.008,0.0,0.0,3.133,9891660.0,14116625.0,0.0,0.0,0.0,0.0,5008.0,12776.0,1542824058.204
21.087,3.234,72.962,0.0,0.0,2.717,10314385.0,14694891.0,0.0,0.0,0.0,0.0,5305.0,12962.0,1542824059.208
9.257,4.824,83.703,0.0,0.0,2.216,13945563.0,19815329.0,0.0,0.0,0.0,0.0,6608.0,17487.0,1542824060.205
7.484,4.129,85.806,0.0,0.0,2.581,14220869.0,20223420.0,0.0,0.0,0.0,0.0,6768.0,18067.0,1542824061.204
5.089,5.471,86.387,0.0,0.0,3.053,14131536.0,20093296.0,0.0,0.0,0.0,0.0,6790.0,17898.0,1542824062.204
4.981,5.364,87.229,0.0,0.0,2.427,13958054.0,19855192.0,0.0,0.0,0.0,0.0,6650.0,17710.0,1542824063.204
4.161,5.332,88.166,0.0,0.0,2.341,14395657.0,20451446.0,0.0,0.0,0.0,0.0,6905.0,18178.0,1542824064.204
5.161,4.258,88.0,0.0,0.0,2.581,14605236.0,20762236.0,0.0,0.0,0.0,0.0,6964.0,18477.0,1542824065.204
5.135,5.006,87.163,0.0,0.0,2.696,14134815.0,20117047.0,0.0,0.0,0.0,0.0,6754.0,17880.0,1542824066.204
