"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:0_vc_48_rep_2.csv -T 1 90",,,,"Date:","23 Oct 2018 13:16:41 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
3.787,5.316,88.686,1.739,0.0,0.471,0.0,0.0,1540300601.940
3.125,3.125,93.750,0.0,0.0,0.0,13021407.0,425992.0,1540300602.941
1.031,5.155,92.784,0.0,0.0,1.031,12594033.0,408710.0,1540300603.941
3.093,5.155,90.722,0.0,0.0,1.031,12709846.0,416321.0,1540300604.941
4.124,5.155,90.722,0.0,0.0,0.0,12462803.0,405886.0,1540300605.941
1.010,7.071,91.919,0.0,0.0,0.0,12532726.0,408812.0,1540300606.941
4.082,5.102,88.776,0.0,0.0,2.041,12481977.0,410219.0,1540300607.941
2.062,4.124,92.784,0.0,0.0,1.031,12470198.0,405020.0,1540300608.941
2.062,4.124,92.784,0.0,0.0,1.031,12611136.0,406562.0,1540300609.941
4.040,6.061,87.879,0.0,0.0,2.020,12541072.0,412015.0,1540300610.941
3.0,7.0,89.0,0.0,0.0,1.0,12584117.0,410858.0,1540300611.941
2.020,5.051,91.919,0.0,0.0,1.010,12674719.0,411214.0,1540300612.941
4.124,4.124,90.722,0.0,0.0,1.031,12679452.0,416383.0,1540300613.941
1.0,6.0,91.0,0.0,0.0,2.0,12598540.0,409400.0,1540300614.941
3.030,6.061,87.879,0.0,0.0,3.030,12806212.0,415094.0,1540300615.941
1.053,5.263,92.632,0.0,0.0,1.053,12660366.0,415433.0,1540300616.941
2.041,5.102,91.837,0.0,0.0,1.020,12615667.0,409410.0,1540300617.941
2.020,6.061,90.909,0.0,0.0,1.010,12563681.0,406520.0,1540300618.941
2.041,6.122,89.796,0.0,0.0,2.041,12586759.0,409979.0,1540300619.941
3.061,6.122,90.816,0.0,0.0,0.0,12543520.0,410666.0,1540300620.941
4.082,5.102,89.796,0.0,0.0,1.020,12472660.0,402372.0,1540300621.942
4.040,6.061,88.889,0.0,0.0,1.010,12682499.0,419057.0,1540300622.941
3.030,6.061,90.909,0.0,0.0,0.0,12762982.0,414014.0,1540300623.941
2.041,5.102,91.837,0.0,0.0,1.020,12866620.0,417066.0,1540300624.941
6.0,7.0,85.0,0.0,0.0,2.0,12635717.0,414565.0,1540300625.941
1.020,7.143,91.837,0.0,0.0,0.0,12687652.0,411248.0,1540300626.941
4.082,4.082,91.837,0.0,0.0,0.0,12455729.0,405736.0,1540300627.941
4.0,6.0,89.0,0.0,0.0,1.0,13021220.0,425417.0,1540300628.941
3.030,4.040,91.919,0.0,0.0,1.010,12547932.0,409426.0,1540300629.941
4.211,4.211,91.579,0.0,0.0,0.0,12444029.0,403810.0,1540300630.941
3.125,4.167,92.708,0.0,0.0,0.0,12793450.0,421275.0,1540300631.941
2.062,6.186,88.660,2.062,0.0,1.031,12595389.0,409244.0,1540300632.941
1.031,4.124,92.784,0.0,0.0,2.062,12732401.0,407254.0,1540300633.941
2.041,7.143,89.796,1.020,0.0,0.0,12474560.0,412211.0,1540300634.941
2.062,5.155,91.753,0.0,0.0,1.031,12493200.0,405908.0,1540300635.941
2.062,4.124,92.784,0.0,0.0,1.031,12612968.0,404988.0,1540300636.941
3.093,4.124,91.753,0.0,0.0,1.031,12625988.0,416157.0,1540300637.941
3.125,2.083,94.792,0.0,0.0,0.0,12604144.0,412542.0,1540300638.941
1.031,5.155,92.784,0.0,0.0,1.031,12701155.0,412428.0,1540300639.941
3.093,7.216,88.660,0.0,0.0,1.031,12604167.0,411533.0,1540300640.941
2.128,7.447,89.362,0.0,0.0,1.064,12471473.0,411839.0,1540300641.941
1.010,7.071,90.909,0.0,0.0,1.010,12534954.0,408064.0,1540300642.941
3.125,3.125,91.667,0.0,0.0,2.083,12770390.0,418371.0,1540300643.941
2.083,5.208,92.708,0.0,0.0,0.0,12503916.0,403307.0,1540300644.941
2.083,6.250,91.667,0.0,0.0,0.0,12625354.0,414166.0,1540300645.941
4.950,6.931,87.129,0.0,0.0,0.990,12504943.0,411051.0,1540300646.941
1.042,4.167,93.750,0.0,0.0,1.042,12475280.0,404618.0,1540300647.941
2.062,5.155,90.722,0.0,0.0,2.062,12395227.0,400096.0,1540300648.941
3.061,5.102,89.796,0.0,0.0,2.041,12458535.0,412327.0,1540300649.941
3.093,6.186,90.722,0.0,0.0,0.0,12529174.0,405894.0,1540300650.941
1.031,5.155,92.784,0.0,0.0,1.031,12442519.0,404804.0,1540300651.941
3.061,6.122,89.796,0.0,0.0,1.020,12602993.0,414953.0,1540300652.941
3.093,4.124,92.784,0.0,0.0,0.0,12588473.0,408932.0,1540300653.941
1.031,3.093,93.814,0.0,0.0,2.062,12973253.0,421334.0,1540300654.941
2.128,5.319,92.553,0.0,0.0,0.0,12620357.0,414317.0,1540300655.945
4.040,5.051,89.899,0.0,0.0,1.010,12414032.0,402440.0,1540300656.941
1.010,6.061,90.909,0.0,0.0,2.020,12448464.0,403840.0,1540300657.941
3.030,6.061,89.899,0.0,0.0,1.010,12476806.0,400478.0,1540300658.942
2.041,6.122,90.816,0.0,0.0,1.020,12530624.0,410515.0,1540300659.941
4.040,6.061,88.889,0.0,0.0,1.010,12438992.0,407151.0,1540300660.941
2.105,5.263,91.579,0.0,0.0,1.053,12553761.0,411344.0,1540300661.941
4.124,5.155,87.629,2.062,0.0,1.031,13110390.0,428963.0,1540300662.941
2.128,3.191,94.681,0.0,0.0,0.0,12467168.0,400946.0,1540300663.941
1.010,6.061,90.909,0.0,0.0,2.020,12579520.0,403886.0,1540300664.941
3.061,6.122,90.816,0.0,0.0,0.0,12562622.0,414303.0,1540300665.941
2.062,6.186,89.691,0.0,0.0,2.062,12492119.0,410288.0,1540300666.941
1.053,4.211,94.737,0.0,0.0,0.0,12434397.0,401822.0,1540300667.941
3.061,7.143,89.796,0.0,0.0,0.0,12632655.0,416913.0,1540300668.941
2.062,3.093,92.784,0.0,0.0,2.062,12308241.0,398796.0,1540300669.941
2.970,5.941,89.109,0.0,0.0,1.980,12623467.0,411596.0,1540300670.941
3.158,5.263,89.474,0.0,0.0,2.105,12678361.0,412985.0,1540300671.941
3.125,4.167,92.708,0.0,0.0,0.0,12602500.0,407836.0,1540300672.941
2.041,5.102,91.837,0.0,0.0,1.020,12527844.0,408834.0,1540300673.941
4.211,4.211,90.526,0.0,0.0,1.053,12549363.0,410595.0,1540300674.941
3.158,3.158,93.684,0.0,0.0,0.0,12171332.0,395142.0,1540300675.941
4.040,9.091,85.859,0.0,0.0,1.010,12634747.0,411359.0,1540300676.941
4.040,6.061,88.889,0.0,0.0,1.010,12542200.0,411263.0,1540300677.941
1.031,5.155,91.753,0.0,0.0,2.062,12553858.0,407688.0,1540300678.941
1.020,6.122,91.837,0.0,0.0,1.020,12263811.0,399864.0,1540300679.941
2.041,5.102,91.837,0.0,0.0,1.020,10221279.0,336113.0,1540300680.941
3.030,8.081,87.879,0.0,0.0,1.010,12556796.0,407204.0,1540300681.941
2.062,5.155,92.784,0.0,0.0,0.0,12537771.0,409508.0,1540300682.941
3.125,5.208,89.583,0.0,0.0,2.083,12561047.0,412597.0,1540300683.941
1.031,4.124,93.814,0.0,0.0,1.031,12386106.0,402594.0,1540300684.941
3.061,5.102,91.837,0.0,0.0,0.0,12519095.0,401498.0,1540300685.941
5.102,5.102,87.755,0.0,0.0,2.041,12587180.0,417421.0,1540300686.941
2.083,4.167,93.750,0.0,0.0,0.0,12607468.0,408460.0,1540300687.941
3.061,4.082,91.837,0.0,0.0,1.020,12497986.0,408128.0,1540300688.941
3.061,5.102,90.816,0.0,0.0,1.020,12635953.0,413567.0,1540300689.942
1.053,5.263,93.684,0.0,0.0,0.0,12757279.0,414186.0,1540300690.941
4.082,4.082,89.796,0.0,0.0,2.041,13132589.0,429314.0,1540300691.941
