"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_32_worker_64_rep_3.csv -T 1 90",,,,"Date:","04 Nov 2018 12:25:41 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
2.256,1.826,95.369,0.069,0.0,0.480,0.0,0.0,6061.357,218376.542,1541334341.335
45.862,7.598,43.826,0.0,0.0,2.714,10822991.0,10524545.0,0.0,0.0,1541334342.336
36.424,4.371,56.026,0.0,0.0,3.179,13169807.0,12968133.0,0.0,0.0,1541334343.336
9.694,3.699,83.546,0.0,0.0,3.061,13178991.0,13029650.0,0.0,0.0,1541334344.336
3.680,3.173,91.244,0.0,0.0,1.904,13392342.0,13244208.0,0.0,12288.0,1541334345.336
2.934,3.699,91.582,0.0,0.0,1.786,13190858.0,13037072.0,0.0,0.0,1541334346.336
3.694,3.694,91.210,0.0,0.0,1.401,13182072.0,13013194.0,0.0,0.0,1541334347.336
2.668,3.558,91.868,0.0,0.0,1.906,13593197.0,13426427.0,0.0,0.0,1541334348.336
3.648,3.899,90.818,0.0,0.0,1.635,13183764.0,13029841.0,0.0,0.0,1541334349.336
3.562,3.053,91.858,0.0,0.0,1.527,13171031.0,12997476.0,0.0,0.0,1541334350.336
3.439,3.567,90.955,0.0,0.0,2.038,13176156.0,12996852.0,0.0,0.0,1541334351.336
3.409,4.040,90.657,0.0,0.0,1.894,13184494.0,13035183.0,0.0,0.0,1541334352.336
3.671,3.418,91.266,0.0,0.0,1.646,13177257.0,13006989.0,0.0,0.0,1541334353.336
2.922,3.304,91.360,0.0,0.0,2.414,13395866.0,13236983.0,0.0,0.0,1541334354.336
4.470,3.065,91.060,0.0,0.0,1.405,13398299.0,13247973.0,0.0,0.0,1541334355.336
3.448,4.087,90.932,0.0,0.0,1.533,13192246.0,13038831.0,0.0,0.0,1541334356.336
4.798,3.788,90.783,0.0,0.0,0.631,13202474.0,13059178.0,0.0,0.0,1541334357.336
3.594,3.338,91.528,0.0,0.0,1.540,13201750.0,13052271.0,0.0,0.0,1541334358.336
3.333,3.462,91.795,0.0,0.0,1.410,13204499.0,13067002.0,0.0,0.0,1541334359.336
3.316,3.316,91.454,0.0,0.0,1.913,13209876.0,13077319.0,0.0,0.0,1541334360.336
3.299,4.061,91.117,0.0,0.0,1.523,13206976.0,13074570.0,0.0,0.0,1541334361.336
4.183,3.929,90.368,0.0,0.0,1.521,13206447.0,13067057.0,0.0,0.0,1541334362.336
3.841,3.457,90.781,0.0,0.0,1.921,13207868.0,13070172.0,0.0,0.0,1541334363.336
3.685,4.320,90.343,0.0,0.0,1.652,13205438.0,13074279.0,0.0,0.0,1541334364.336
3.409,3.283,90.278,0.0,0.0,3.030,13401956.0,13251865.0,0.0,0.0,1541334365.336
3.291,4.304,90.633,0.0,0.0,1.772,13397514.0,13246649.0,0.0,0.0,1541334366.336
3.934,3.934,90.102,0.0,0.0,2.030,13184222.0,13021169.0,0.0,0.0,1541334367.336
3.418,3.418,91.646,0.0,0.0,1.519,13178809.0,13017276.0,0.0,0.0,1541334368.336
3.304,3.558,91.105,0.0,0.0,2.033,13177116.0,13012734.0,0.0,0.0,1541334369.336
3.026,4.035,91.047,0.0,0.0,1.892,13170740.0,12994806.0,0.0,32768.0,1541334370.336
3.812,3.685,91.360,0.127,0.0,1.017,13380126.0,13195210.0,0.0,73728.0,1541334371.336
3.304,3.558,91.487,0.0,0.0,1.652,13179767.0,13014760.0,0.0,0.0,1541334372.336
3.944,3.817,91.476,0.0,0.0,0.763,13170673.0,13002338.0,0.0,0.0,1541334373.336
3.189,2.934,91.837,0.0,0.0,2.041,13379049.0,13215372.0,0.0,0.0,1541334374.336
3.812,3.558,91.233,0.127,0.0,1.271,13180569.0,13005932.0,0.0,11878400.0,1541334375.336
3.299,2.665,91.751,0.0,0.0,2.284,13167268.0,12999470.0,0.0,0.0,1541334376.336
4.288,3.279,91.173,0.0,0.0,1.261,13168454.0,13002467.0,0.0,0.0,1541334377.336
3.783,3.153,91.047,0.0,0.0,2.018,13177434.0,13004338.0,0.0,0.0,1541334378.336
3.544,3.291,91.519,0.0,0.0,1.646,13167756.0,13012202.0,0.0,0.0,1541334379.336
3.283,4.040,91.035,0.0,0.0,1.641,13174264.0,13000099.0,0.0,0.0,1541334380.336
2.956,3.342,92.416,0.0,0.0,1.285,13185252.0,13021618.0,0.0,0.0,1541334381.336
3.448,2.810,91.826,0.0,0.0,1.916,13176132.0,13006921.0,0.0,0.0,1541334382.336
3.262,3.764,90.715,0.0,0.0,2.258,13182798.0,13026595.0,0.0,0.0,1541334383.336
3.562,3.435,91.476,0.0,0.0,1.527,13197018.0,13041069.0,0.0,0.0,1541334384.336
3.065,3.576,91.443,0.0,0.0,1.916,13397117.0,13247334.0,0.0,0.0,1541334385.336
3.797,3.418,90.759,0.0,0.0,2.025,13189655.0,13042332.0,0.0,0.0,1541334386.336
3.422,4.436,90.494,0.0,0.0,1.648,13194963.0,13046054.0,0.0,0.0,1541334387.336
3.535,3.157,91.035,0.0,0.0,2.273,13180680.0,13027159.0,0.0,0.0,1541334388.336
3.081,3.209,92.426,0.0,0.0,1.284,13182808.0,13028798.0,0.0,0.0,1541334389.336
3.929,2.915,91.255,0.0,0.0,1.901,13181897.0,13029643.0,0.0,0.0,1541334390.336
3.634,4.010,89.975,0.0,0.0,2.381,13181100.0,13016780.0,0.0,0.0,1541334391.336
2.953,4.108,91.784,0.0,0.0,1.155,13179795.0,13018821.0,0.0,0.0,1541334392.336
3.193,3.321,91.443,0.0,0.0,2.043,13178933.0,13003777.0,0.0,0.0,1541334393.336
3.929,3.676,91.001,0.0,0.0,1.394,13182247.0,13024195.0,0.0,0.0,1541334394.336
3.405,4.540,90.290,0.0,0.0,1.765,13175500.0,13015761.0,0.0,0.0,1541334395.336
3.581,3.708,91.816,0.0,0.0,0.895,13384879.0,13226175.0,0.0,0.0,1541334396.336
