"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_1:0_vc_32_worker_16_rep_1.csv -T 1 90",,,,"Date:","04 Nov 2018 11:43:26 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
2.028,1.631,95.866,0.072,0.0,0.403,0.0,0.0,6400.660,210222.346,1541331806.723
44.884,5.866,47.613,0.0,0.0,1.637,10402666.0,9187266.0,0.0,0.0,1541331807.724
47.761,10.176,38.670,0.0,0.0,3.392,19618604.0,18430939.0,0.0,0.0,1541331808.724
25.472,10.377,61.995,0.0,0.0,2.156,31657715.0,30422646.0,0.0,0.0,1541331809.724
12.146,10.256,75.709,0.0,0.0,1.889,32480944.0,31322919.0,0.0,0.0,1541331810.724
11.725,10.916,75.472,0.0,0.0,1.887,31291958.0,30467479.0,0.0,0.0,1541331811.725
11.978,10.229,75.639,0.0,0.0,2.153,30529167.0,29569850.0,0.0,0.0,1541331812.724
13.738,11.096,72.391,0.0,0.0,2.774,29532213.0,28647697.0,0.0,0.0,1541331813.724
12.838,11.622,73.243,0.0,0.0,2.297,33233947.0,32267900.0,0.0,0.0,1541331814.724
10.081,11.156,76.882,0.269,0.0,1.613,32424973.0,31333649.0,0.0,81920.0,1541331815.724
11.382,12.060,74.526,0.0,0.0,2.033,34334121.0,33309156.0,0.0,0.0,1541331816.724
13.957,11.382,71.951,0.0,0.0,2.710,33969681.0,32874824.0,0.0,0.0,1541331817.724
10.724,11.394,75.201,0.0,0.0,2.681,35260330.0,34190650.0,0.0,0.0,1541331818.724
12.146,12.551,73.414,0.0,0.0,1.889,34860718.0,33631911.0,0.0,0.0,1541331819.724
11.111,10.843,76.171,0.0,0.0,1.874,31786296.0,30795580.0,0.0,0.0,1541331820.724
14.228,11.111,72.358,0.0,0.0,2.304,33408371.0,32411357.0,0.0,0.0,1541331821.724
11.936,10.610,73.740,0.0,0.0,3.714,32871698.0,31824595.0,0.0,0.0,1541331822.724
12.109,11.429,74.286,0.0,0.0,2.177,35898043.0,34773194.0,0.0,0.0,1541331823.725
11.321,11.051,75.337,0.0,0.0,2.291,33038754.0,32018458.0,0.0,0.0,1541331824.724
11.308,10.763,75.341,0.0,0.0,2.589,35485645.0,34201118.0,0.0,0.0,1541331825.724
10.858,10.456,76.273,0.0,0.0,2.413,35355849.0,34278814.0,0.0,0.0,1541331826.725
11.216,12.027,75.0,0.0,0.0,1.757,34512209.0,33350789.0,0.0,0.0,1541331827.724
13.757,10.450,73.942,0.0,0.0,1.852,33990398.0,32859966.0,0.0,0.0,1541331828.724
12.245,11.156,74.558,0.0,0.0,2.041,35898640.0,34851185.0,0.0,0.0,1541331829.724
10.397,10.670,76.881,0.0,0.0,2.052,33501847.0,32397444.0,0.0,0.0,1541331830.724
12.925,11.156,73.878,0.0,0.0,2.041,35060352.0,33761997.0,0.0,0.0,1541331831.724
12.722,9.850,75.923,0.0,0.0,1.505,35494697.0,34467892.0,0.0,0.0,1541331832.724
