"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_8_worker_8_rep_3.csv -T 1 90",,,,"Date:","04 Nov 2018 09:35:26 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
1.271,1.016,97.442,0.076,0.0,0.195,0.0,0.0,7705.144,183971.974,1541324126.688
45.541,4.865,46.892,0.0,0.0,2.703,10863920.0,10532660.0,0.0,0.0,1541324127.691
36.933,4.533,54.933,0.0,0.0,3.600,13126867.0,12736819.0,0.0,0.0,1541324128.689
10.143,2.601,84.785,0.0,0.0,2.471,13142397.0,12733751.0,0.0,786432.0,1541324129.689
2.692,2.179,93.205,0.0,0.0,1.923,13048476.0,12681360.0,0.0,0.0,1541324130.689
5.350,2.930,89.936,0.0,0.0,1.783,13209977.0,12803020.0,0.0,0.0,1541324131.689
3.567,2.548,91.847,0.0,0.0,2.038,13150547.0,12765497.0,0.0,0.0,1541324132.689
2.174,2.813,92.583,0.0,0.0,2.430,13339191.0,12948331.0,0.0,0.0,1541324133.689
2.806,2.679,92.602,0.0,0.0,1.913,13127618.0,12710402.0,0.0,0.0,1541324134.689
3.153,3.153,91.173,0.252,0.0,2.270,13130553.0,12737689.0,0.0,81920.0,1541324135.689
2.675,2.675,92.229,0.0,0.0,2.420,13143523.0,12776700.0,0.0,0.0,1541324136.689
2.452,2.065,93.677,0.0,0.0,1.806,13140478.0,12737456.0,0.0,0.0,1541324137.689
2.554,2.937,92.593,0.0,0.0,1.916,13126857.0,12729163.0,0.0,0.0,1541324138.689
3.161,2.908,91.150,0.759,0.0,2.023,13129430.0,12777452.0,0.0,3014656.0,1541324139.689
2.926,2.545,91.985,0.0,0.0,2.545,13110687.0,12700755.0,0.0,0.0,1541324140.689
2.915,2.281,92.269,0.0,0.0,2.535,13157611.0,12779036.0,0.0,0.0,1541324141.690
2.941,2.685,92.839,0.0,0.0,1.535,13312705.0,12916260.0,0.0,0.0,1541324142.689
2.930,2.803,92.357,0.0,0.0,1.911,13171034.0,12773386.0,0.0,0.0,1541324143.689
3.299,2.284,92.132,0.0,0.0,2.284,13150531.0,12771882.0,0.0,0.0,1541324144.689
2.541,2.795,92.376,0.0,0.0,2.287,13055397.0,12657084.0,0.0,0.0,1541324145.689
3.042,2.662,92.015,0.0,0.0,2.281,13180939.0,12776784.0,0.0,0.0,1541324146.689
2.532,3.165,92.152,0.0,0.0,2.152,13128310.0,12754468.0,0.0,0.0,1541324147.689
2.810,2.682,92.848,0.0,0.0,1.660,13021776.0,12656216.0,0.0,0.0,1541324148.689
2.964,2.320,92.655,0.0,0.0,2.062,13254037.0,12841700.0,0.0,0.0,1541324149.689
3.061,2.423,92.985,0.0,0.0,1.531,13141661.0,12750460.0,0.0,0.0,1541324150.689
2.305,2.689,93.342,0.0,0.0,1.665,13128157.0,12741755.0,0.0,0.0,1541324151.689
3.312,2.675,92.484,0.0,0.0,1.529,13118817.0,12755632.0,0.0,0.0,1541324152.689
3.034,3.034,92.288,0.0,0.0,1.643,13139165.0,12743338.0,0.0,0.0,1541324153.689
1.933,2.062,94.201,0.0,0.0,1.804,12936284.0,12561108.0,0.0,0.0,1541324154.689
2.545,2.672,92.494,0.0,0.0,2.290,13337047.0,12942351.0,0.0,0.0,1541324155.689
2.296,2.423,93.240,0.0,0.0,2.041,13148405.0,12748939.0,0.0,0.0,1541324156.689
2.408,2.788,92.649,0.0,0.0,2.155,13135008.0,12725958.0,0.0,0.0,1541324157.689
3.046,2.411,92.386,0.0,0.0,2.157,13356939.0,12982402.0,0.0,0.0,1541324158.689
