"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:0_vc_1_worker_32_rep_3.csv -T 1 80",,,,"Date:","07 Dec 2018 08:44:09 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
3.262,6.510,88.881,0.295,0.0,1.052,0.0,0.0,1544172249.540
3.297,3.297,92.308,0.0,0.0,1.099,8091481.0,260260.0,1544172250.541
1.053,7.368,82.105,7.368,0.0,2.105,9472107.0,305620.0,1544172251.541
3.226,10.753,86.022,0.0,0.0,0.0,13389588.0,436249.0,1544172252.544
5.263,7.368,86.316,0.0,0.0,1.053,13124308.0,425180.0,1544172253.541
3.191,7.447,87.234,0.0,0.0,2.128,12825065.0,414400.0,1544172254.541
5.435,9.783,82.609,0.0,0.0,2.174,13185098.0,430649.0,1544172255.541
3.226,7.527,88.172,0.0,0.0,1.075,13813166.0,446600.0,1544172256.541
3.261,7.609,88.043,0.0,0.0,1.087,14418690.0,466340.0,1544172257.541
4.348,8.696,85.870,0.0,0.0,1.087,14087267.0,459489.0,1544172258.541
1.099,8.791,89.011,0.0,0.0,1.099,14336897.0,463680.0,1544172259.541
7.527,11.828,79.570,0.0,0.0,1.075,12756522.0,418152.0,1544172260.541
3.261,6.522,89.130,0.0,0.0,1.087,13258634.0,432469.0,1544172261.541
3.158,9.474,86.316,0.0,0.0,1.053,13756304.0,444920.0,1544172262.541
3.261,7.609,88.043,0.0,0.0,1.087,13734612.0,444640.0,1544172263.541
5.376,6.452,86.022,0.0,0.0,2.151,13051080.0,426309.0,1544172264.541
4.255,8.511,85.106,0.0,0.0,2.128,12745649.0,411320.0,1544172265.541
4.348,4.348,90.217,0.0,0.0,1.087,13534243.0,438480.0,1544172266.541
3.226,7.527,88.172,0.0,0.0,1.075,13241172.0,432189.0,1544172267.541
2.105,9.474,86.316,0.0,0.0,2.105,13393515.0,433160.0,1544172268.541
3.191,5.319,90.426,0.0,0.0,1.064,13409242.0,433580.0,1544172269.541
3.261,8.696,84.783,0.0,0.0,3.261,12746465.0,416137.0,1544172270.541
2.105,9.474,86.316,0.0,0.0,2.105,13511170.0,436866.0,1544172271.541
3.125,7.292,87.500,0.0,0.0,2.083,12814191.0,414334.0,1544172272.541
3.371,5.618,91.011,0.0,0.0,0.0,13326600.0,435129.0,1544172273.541
2.128,8.511,87.234,0.0,0.0,2.128,13618483.0,440580.0,1544172274.541
4.301,8.602,86.022,0.0,0.0,1.075,12543489.0,405020.0,1544172275.541
4.301,8.602,84.946,0.0,0.0,2.151,14357241.0,469009.0,1544172276.541
3.226,7.527,87.097,0.0,0.0,2.151,13636218.0,441000.0,1544172277.541
5.376,8.602,86.022,0.0,0.0,0.0,14203160.0,459340.0,1544172278.541
8.511,7.447,82.979,0.0,0.0,1.064,13193437.0,430649.0,1544172279.541
2.151,10.753,86.022,0.0,0.0,1.075,13963698.0,451360.0,1544172280.541
5.155,8.247,79.381,4.124,0.0,3.093,13437804.0,434140.0,1544172281.541
4.255,10.638,84.043,0.0,0.0,1.064,13985061.0,456409.0,1544172282.542
3.226,8.602,87.097,0.0,0.0,1.075,14166098.0,458360.0,1544172283.541
2.151,8.602,87.097,0.0,0.0,2.151,14687860.0,475352.0,1544172284.541
8.163,10.204,77.551,0.0,0.0,4.082,13251878.0,432469.0,1544172285.541
5.435,4.348,89.130,0.0,0.0,1.087,13809538.0,446460.0,1544172286.541
3.261,7.609,88.043,0.0,0.0,1.087,14496975.0,468720.0,1544172287.541
