"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:0_vc_40_worker_64_rep_1.csv -T 1 80",,,,"Date:","07 Dec 2018 13:48:07 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.918,2.257,94.303,0.171,0.0,1.351,0.0,0.0,1544190487.847
1.005,1.508,95.477,0.0,0.0,2.010,146428.0,4449138.0,1544190488.848
3.465,6.931,83.663,0.0,0.0,5.941,541894.0,16423070.0,1544190489.849
4.688,4.688,85.938,0.0,0.0,4.688,624186.0,18622708.0,1544190490.848
5.051,6.061,83.838,0.0,0.0,5.051,619198.0,18587984.0,1544190491.848
3.704,3.175,88.360,0.0,0.0,4.762,579322.0,17412685.0,1544190492.848
5.500,6.500,83.0,0.0,0.0,5.0,597084.0,17763439.0,1544190493.848
2.618,5.759,87.435,0.0,0.0,4.188,624458.0,18687054.0,1544190494.848
3.553,6.091,86.294,0.0,0.0,4.061,556352.0,16668693.0,1544190495.848
3.704,6.878,85.714,0.0,0.0,3.704,630952.0,18776192.0,1544190496.848
3.125,6.771,86.458,0.0,0.0,3.646,616616.0,18530020.0,1544190497.848
3.077,7.692,83.077,0.0,0.0,6.154,645245.0,19347097.0,1544190498.848
4.020,7.538,82.412,0.0,0.0,6.030,631286.0,18700133.0,1544190499.848
3.627,5.699,86.528,0.0,0.0,4.145,605774.0,18188053.0,1544190500.848
3.553,10.660,81.726,0.0,0.0,4.061,697802.0,20936155.0,1544190501.848
6.091,6.091,83.249,0.0,0.0,4.569,666316.0,19815034.0,1544190502.848
3.980,7.960,82.587,0.0,0.0,5.473,675368.0,20244988.0,1544190503.848
4.188,4.188,86.911,0.0,0.0,4.712,633414.0,18977869.0,1544190504.848
3.571,6.633,83.163,0.0,0.0,6.633,677184.0,20111849.0,1544190505.848
4.455,7.921,81.188,0.0,0.0,6.436,667940.0,20053411.0,1544190506.848
4.082,6.633,83.673,0.0,0.0,5.612,684412.0,20534397.0,1544190507.848
3.627,6.218,84.974,0.0,0.0,5.181,654684.0,19484166.0,1544190508.848
5.556,6.061,83.333,0.0,0.0,5.051,665146.0,19956317.0,1544190509.848
5.155,4.639,85.052,0.0,0.0,5.155,648786.0,19449897.0,1544190510.848
5.076,7.614,82.234,0.0,0.0,5.076,657336.0,19552057.0,1544190511.848
4.663,4.663,85.492,0.0,0.0,5.181,678786.0,20320606.0,1544190512.850
5.584,7.107,82.234,0.0,0.0,5.076,672576.0,20189828.0,1544190513.848
4.145,6.736,84.974,0.0,0.0,4.145,660498.0,19628671.0,1544190514.848
4.523,7.035,82.915,0.0,0.0,5.528,644102.0,19302785.0,1544190515.848
5.670,5.670,83.505,0.0,0.0,5.155,683490.0,20524798.0,1544190516.848
3.158,5.263,85.263,1.053,0.0,5.263,667140.0,19794013.0,1544190517.848
4.569,7.107,83.756,0.0,0.0,4.569,649690.0,19468886.0,1544190518.848
2.591,6.218,86.528,0.0,0.0,4.663,637278.0,19143397.0,1544190519.848
3.141,5.236,85.864,0.0,0.0,5.759,617160.0,18373006.0,1544190520.848
4.569,6.599,82.741,0.0,0.0,6.091,675982.0,20260120.0,1544190521.848
3.0,8.0,81.500,0.0,0.0,7.500,677436.0,20295825.0,1544190522.848
