"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_0:1_vc_16_worker_8_rep_1.csv -T 1 80",,,,"Date:","07 Dec 2018 10:33:04 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
3.699,2.969,92.507,0.082,0.0,0.742,0.0,0.0,10874.273,332274.690,0.0,0.0,3009.092,9558.883,1544178784.375
36.828,2.957,58.737,0.0,0.0,1.478,6052249.0,5886014.0,0.0,0.0,0.0,0.0,1972.0,5412.0,1544178785.376
20.469,1.695,76.271,0.0,0.0,1.565,6522928.0,6339661.0,0.0,0.0,0.0,0.0,1321.0,4545.0,1544178786.376
3.426,1.269,94.036,0.0,0.0,1.269,6555578.0,6378632.0,0.0,0.0,0.0,0.0,1109.0,4363.0,1544178787.376
4.430,1.266,93.038,0.0,0.0,1.266,6516877.0,6342936.0,0.0,0.0,0.0,0.0,1377.0,4673.0,1544178788.375
5.499,0.895,92.839,0.0,0.0,0.767,6519808.0,6342136.0,0.0,0.0,0.0,0.0,1408.0,4410.0,1544178789.376
1.637,1.259,96.096,0.0,0.0,1.008,6488531.0,6313829.0,0.0,0.0,0.0,0.0,1460.0,4433.0,1544178790.376
1.643,0.885,96.334,0.0,0.0,1.138,6615084.0,6437831.0,0.0,0.0,0.0,0.0,1542.0,4466.0,1544178791.376
2.548,1.019,95.669,0.0,0.0,0.764,6479474.0,6309753.0,0.0,0.0,0.0,0.0,1464.0,4540.0,1544178792.376
1.763,1.385,95.844,0.0,0.0,1.008,6513572.0,6335671.0,0.0,0.0,0.0,0.0,1499.0,4447.0,1544178793.376
1.389,1.389,96.338,0.0,0.0,0.884,6519571.0,6347136.0,0.0,0.0,0.0,0.0,1533.0,4511.0,1544178794.376
1.887,1.384,95.849,0.0,0.0,0.881,6491326.0,6319806.0,0.0,0.0,0.0,0.0,1513.0,4407.0,1544178795.376
1.650,1.396,95.939,0.0,0.0,1.015,6561474.0,6381029.0,0.0,0.0,0.0,0.0,1495.0,4466.0,1544178796.376
2.005,1.253,95.739,0.0,0.0,1.003,6470125.0,6299138.0,0.0,0.0,0.0,0.0,1580.0,4459.0,1544178797.376
2.141,1.385,95.592,0.0,0.0,0.882,6427107.0,6256221.0,0.0,0.0,0.0,0.0,1456.0,4373.0,1544178798.376
1.145,0.891,97.074,0.0,0.0,0.891,6479421.0,6308414.0,0.0,0.0,0.0,0.0,1448.0,4363.0,1544178799.376
1.639,1.387,96.217,0.0,0.0,0.757,6503049.0,6328771.0,0.0,0.0,0.0,0.0,1610.0,4339.0,1544178800.376
0.891,0.891,97.201,0.0,0.0,1.018,6434710.0,6265300.0,0.0,0.0,0.0,0.0,1623.0,4323.0,1544178801.376
1.248,1.623,95.506,0.0,0.0,1.623,6376558.0,6210238.0,0.0,0.0,0.0,0.0,1652.0,4354.0,1544178802.376
2.276,1.770,95.070,0.0,0.0,0.885,6553969.0,6379731.0,0.0,16384.0,0.0,0.0,1697.0,4551.0,1544178803.376
2.513,1.005,95.226,0.0,0.0,1.256,6394181.0,6227794.0,0.0,0.0,0.0,0.0,1559.0,4400.0,1544178804.376
1.515,1.641,96.338,0.0,0.0,0.505,6498771.0,6320233.0,0.0,0.0,0.0,0.0,1465.0,4235.0,1544178805.376
1.887,1.384,95.472,0.0,0.0,1.258,6519252.0,6345229.0,0.0,0.0,0.0,0.0,1616.0,4432.0,1544178806.376
5.096,1.146,93.121,0.0,0.0,0.637,6500241.0,6325439.0,0.0,0.0,0.0,0.0,1618.0,4416.0,1544178807.376
1.513,1.639,95.965,0.0,0.0,0.883,6617802.0,6436255.0,0.0,0.0,0.0,0.0,1720.0,4571.0,1544178808.376
1.385,1.385,96.096,0.0,0.0,1.134,6737359.0,6549524.0,0.0,0.0,0.0,0.0,1695.0,4553.0,1544178809.376
1.263,1.263,96.465,0.0,0.0,1.010,6497465.0,6325150.0,0.0,0.0,0.0,0.0,1654.0,4432.0,1544178810.376
1.385,0.882,96.222,0.0,0.0,1.511,6672099.0,6493113.0,0.0,0.0,0.0,0.0,1640.0,4496.0,1544178811.376
1.523,1.269,96.193,0.381,0.0,0.635,6391047.0,6224606.0,0.0,61440.0,0.0,0.0,1585.0,4422.0,1544178812.376
1.519,1.519,96.582,0.0,0.0,0.380,6362885.0,6201249.0,0.0,32768.0,0.0,0.0,1587.0,4521.0,1544178813.376
