"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_0:1_vc_1_worker_16_rep_2.csv -T 1 80",,,,"Date:","07 Dec 2018 08:11:03 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
3.832,3.149,92.109,0.098,0.0,0.811,0.0,0.0,13332.122,370203.770,0.0,0.0,3088.738,9846.378,1544170263.021
25.426,2.097,72.215,0.0,0.0,0.262,4094170.0,3969920.0,0.0,0.0,0.0,0.0,2375.0,6607.0,1544170264.024
21.912,1.859,75.697,0.0,0.0,0.531,5634456.0,5471151.0,0.0,0.0,0.0,0.0,2293.0,7496.0,1544170265.022
7.455,1.671,90.746,0.0,0.0,0.129,6035864.0,5858060.0,0.0,0.0,0.0,0.0,2389.0,7803.0,1544170266.022
3.581,1.790,94.501,0.0,0.0,0.128,6766220.0,6566552.0,0.0,0.0,0.0,0.0,2779.0,8739.0,1544170267.022
10.438,2.320,87.113,0.0,0.0,0.129,5259717.0,5102406.0,0.0,0.0,0.0,0.0,2487.0,7031.0,1544170268.022
2.571,1.414,96.015,0.0,0.0,0.0,6918328.0,6714538.0,0.0,0.0,0.0,0.0,2934.0,8852.0,1544170269.022
1.790,2.174,96.036,0.0,0.0,0.0,6810770.0,6601474.0,0.0,0.0,0.0,0.0,2961.0,8724.0,1544170270.022
3.351,2.062,94.201,0.258,0.0,0.129,6597000.0,6405663.0,0.0,73728.0,0.0,0.0,2968.0,8510.0,1544170271.022
1.918,1.662,96.164,0.0,0.0,0.256,6900770.0,6701356.0,0.0,0.0,0.0,0.0,2919.0,8748.0,1544170272.022
1.662,2.046,96.292,0.0,0.0,0.0,6778874.0,6575041.0,0.0,0.0,0.0,0.0,3023.0,8636.0,1544170273.022
2.420,2.293,95.159,0.0,0.0,0.127,6670627.0,6475517.0,0.0,0.0,0.0,0.0,3014.0,8631.0,1544170274.022
1.665,1.921,96.415,0.0,0.0,0.0,6747966.0,6548958.0,0.0,0.0,0.0,0.0,2875.0,8593.0,1544170275.022
2.030,2.030,95.685,0.0,0.0,0.254,6653692.0,6445021.0,0.0,0.0,0.0,0.0,2869.0,8488.0,1544170276.022
2.302,1.535,96.164,0.0,0.0,0.0,6633093.0,6444629.0,0.0,0.0,0.0,0.0,2832.0,8527.0,1544170277.022
2.174,1.535,96.292,0.0,0.0,0.0,6712394.0,6518722.0,0.0,0.0,0.0,0.0,2874.0,8626.0,1544170278.022
1.405,2.427,96.041,0.0,0.0,0.128,6568942.0,6375496.0,0.0,0.0,0.0,0.0,2931.0,8461.0,1544170279.022
1.916,1.405,96.679,0.0,0.0,0.0,6285316.0,6089702.0,0.0,0.0,0.0,0.0,2691.0,8048.0,1544170280.022
2.171,2.043,95.785,0.0,0.0,0.0,6654312.0,6462373.0,0.0,0.0,0.0,0.0,2964.0,8671.0,1544170281.022
2.525,2.273,95.076,0.0,0.0,0.126,6729634.0,6522846.0,0.0,0.0,0.0,0.0,2915.0,8542.0,1544170282.022
2.049,1.793,96.159,0.0,0.0,0.0,6682553.0,6492604.0,0.0,0.0,0.0,0.0,2965.0,8530.0,1544170283.022
1.777,2.665,95.558,0.0,0.0,0.0,6765799.0,6557973.0,0.0,0.0,0.0,0.0,3020.0,8647.0,1544170284.022
1.538,1.667,96.667,0.0,0.0,0.128,6819562.0,6622854.0,0.0,0.0,0.0,0.0,3012.0,8702.0,1544170285.022
1.804,1.160,96.907,0.0,0.0,0.129,6677902.0,6483841.0,0.0,0.0,0.0,0.0,2906.0,8530.0,1544170286.022
1.797,1.412,96.791,0.0,0.0,0.0,6739090.0,6531888.0,0.0,0.0,0.0,0.0,2887.0,8572.0,1544170287.022
2.049,1.408,96.415,0.0,0.0,0.128,6658818.0,6470842.0,0.0,0.0,0.0,0.0,2848.0,8549.0,1544170288.022
