"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:3_vc_2_worker_64_rep_2_sharded_false.csv -T 1 60",,,,"Date:","22 Nov 2018 12:34:53 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.510,2.192,93.722,1.467,0.0,1.110,0.0,0.0,1542890093.584
2.105,1.053,94.737,0.0,0.0,2.105,4071357.0,3953441.0,1542890094.585
3.093,5.155,88.660,0.0,0.0,3.093,4596574.0,4458495.0,1542890095.585
2.083,2.083,91.667,0.0,0.0,4.167,5923960.0,5757920.0,1542890096.585
1.042,5.208,90.625,0.0,0.0,3.125,7055089.0,6884591.0,1542890097.585
5.208,5.208,88.542,0.0,0.0,1.042,7698561.0,7514215.0,1542890098.585
1.053,4.211,91.579,0.0,0.0,3.158,7600678.0,7426240.0,1542890099.585
4.167,5.208,86.458,0.0,0.0,4.167,8500542.0,8336634.0,1542890100.585
2.105,4.211,87.368,0.0,0.0,6.316,7392211.0,7206510.0,1542890101.585
2.062,3.093,90.722,0.0,0.0,4.124,7420504.0,7283690.0,1542890102.585
2.041,4.082,89.796,0.0,0.0,4.082,7049008.0,6869246.0,1542890103.585
4.0,4.0,85.0,0.0,0.0,7.0,7486573.0,7311355.0,1542890104.585
2.970,8.911,83.168,0.0,0.0,4.950,7565016.0,7386926.0,1542890105.585
1.020,4.082,87.755,0.0,0.0,7.143,7823317.0,7650060.0,1542890106.585
4.0,5.0,86.0,0.0,0.0,5.0,7520994.0,7356339.0,1542890107.585
3.030,7.071,87.879,0.0,0.0,2.020,7283876.0,7096271.0,1542890108.585
2.0,6.0,87.0,0.0,0.0,5.0,7904442.0,7764114.0,1542890109.585
4.255,5.319,87.234,0.0,0.0,3.191,7367617.0,7180024.0,1542890110.585
2.062,4.124,89.691,0.0,0.0,4.124,6986257.0,6831602.0,1542890111.585
2.0,6.0,88.0,0.0,0.0,4.0,6941880.0,6761859.0,1542890112.585
2.062,5.155,87.629,0.0,0.0,5.155,6408903.0,6271648.0,1542890113.585
2.174,6.522,86.957,0.0,0.0,4.348,6212789.0,6048631.0,1542890114.585
2.020,7.071,86.869,1.010,0.0,3.030,5643054.0,5484863.0,1542890115.585
2.062,5.155,90.722,0.0,0.0,2.062,6343579.0,6189529.0,1542890116.585
2.970,5.941,86.139,0.0,0.0,4.950,6490313.0,6351509.0,1542890117.585
4.808,6.731,84.615,0.0,0.0,3.846,6427886.0,6285473.0,1542890118.585
3.030,5.051,86.869,0.0,0.0,5.051,6462609.0,6282156.0,1542890119.585
3.960,5.941,85.149,0.0,0.0,4.950,6284948.0,6136160.0,1542890120.585
0.980,6.863,86.275,0.0,0.0,5.882,6055764.0,5878831.0,1542890121.585
4.950,4.950,86.139,0.0,0.0,3.960,5772413.0,5666434.0,1542890122.586
0.990,4.950,87.129,0.0,0.0,6.931,5777633.0,5604990.0,1542890123.585
2.0,4.0,88.0,0.0,0.0,6.0,6074609.0,5941994.0,1542890124.585
3.960,6.931,85.149,0.0,0.0,3.960,6017658.0,5872041.0,1542890125.585
2.020,4.040,88.889,0.0,0.0,5.051,6107020.0,5972780.0,1542890126.585
0.0,3.093,90.722,0.0,0.0,6.186,6229989.0,6044794.0,1542890127.585
2.913,4.854,86.408,0.0,0.0,5.825,5957531.0,5810442.0,1542890128.585
2.970,4.950,87.129,0.0,0.0,4.950,6328825.0,6179955.0,1542890129.585
