"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:0_vc_32_worker_16_rep_3.csv -T 1 90",,,,"Date:","09 Nov 2018 14:28:48 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.957,2.431,92.979,0.451,0.0,2.181,0.0,0.0,1541773728.906
2.0,3.0,92.0,0.0,0.0,3.0,303758.0,9165894.0,1541773729.907
2.020,4.040,89.394,0.0,0.0,4.545,441506.0,13249761.0,1541773730.907
2.051,3.077,91.795,0.0,0.0,3.077,492142.0,14572975.0,1541773731.907
2.451,5.392,87.745,0.0,0.0,4.412,520520.0,15594967.0,1541773732.907
1.538,3.590,92.308,0.0,0.0,2.564,504140.0,15104018.0,1541773733.907
1.554,2.591,92.228,0.0,0.0,3.627,495816.0,14684994.0,1541773734.907
2.051,3.590,90.769,0.0,0.0,3.590,523450.0,15712865.0,1541773735.907
1.493,3.980,89.055,0.0,0.0,5.473,504922.0,15104259.0,1541773736.907
2.525,3.535,90.404,0.0,0.0,3.535,499078.0,14771819.0,1541773737.907
1.531,2.551,91.837,0.0,0.0,4.082,512668.0,15357132.0,1541773738.907
2.538,3.553,91.371,0.0,0.0,2.538,500820.0,15024199.0,1541773739.907
1.546,3.093,92.268,0.0,0.0,3.093,492704.0,14571235.0,1541773740.907
1.538,3.077,91.795,0.0,0.0,3.590,502552.0,15062166.0,1541773741.907
1.546,2.577,91.753,0.0,0.0,4.124,512112.0,15338850.0,1541773742.907
3.015,3.518,89.950,0.0,0.0,3.518,509116.0,15083176.0,1541773743.907
1.500,4.0,90.0,0.0,0.0,4.500,497354.0,14902637.0,1541773744.907
1.990,4.478,89.552,0.0,0.0,3.980,505746.0,15150076.0,1541773745.907
3.046,3.046,90.355,0.0,0.0,3.553,512056.0,15171140.0,1541773746.907
1.523,3.553,91.371,0.0,0.0,3.553,505210.0,15124690.0,1541773747.907
