"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:0_vc_32_worker_64_rep_1.csv -T 1 90",,,,"Date:","09 Nov 2018 14:37:52 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
3.965,3.767,90.972,0.249,0.0,1.048,0.0,0.0,21595.724,682826.720,0.0,0.0,5924.570,17395.679,1541774272.487
41.963,13.798,39.118,0.0,0.0,5.121,16634577.0,44147140.0,0.0,0.0,0.0,0.0,7194.0,21762.0,1541774273.488
39.822,15.007,36.701,0.0,0.0,8.470,24276739.0,64769074.0,0.0,0.0,0.0,0.0,8268.0,27125.0,1541774274.488
19.697,14.187,61.157,0.0,0.0,4.959,34745126.0,93653982.0,0.0,0.0,0.0,0.0,11771.0,37897.0,1541774275.488
10.964,13.078,72.259,0.0,0.0,3.699,35843070.0,96361882.0,0.0,0.0,0.0,0.0,14492.0,40455.0,1541774276.488
10.359,11.687,73.705,0.0,0.0,4.250,33621893.0,90444481.0,0.0,0.0,0.0,0.0,13856.0,37396.0,1541774277.488
10.055,11.295,74.793,0.0,0.0,3.857,34371197.0,91965674.0,0.0,0.0,0.0,0.0,14501.0,38813.0,1541774278.488
8.707,12.381,74.558,0.0,0.0,4.354,36631669.0,98877687.0,0.0,0.0,0.0,0.0,15451.0,41042.0,1541774279.488
12.142,10.641,71.760,0.0,0.0,5.457,34345738.0,92333524.0,0.0,0.0,0.0,0.0,14035.0,37572.0,1541774280.488
10.179,13.480,72.490,0.0,0.0,3.851,36204800.0,97203773.0,0.0,0.0,0.0,0.0,14911.0,40209.0,1541774281.489
9.434,12.803,73.585,0.0,0.0,4.178,35408229.0,95253382.0,0.0,0.0,0.0,0.0,14931.0,39513.0,1541774282.488
9.717,10.526,75.034,0.0,0.0,4.723,34149174.0,91673250.0,0.0,0.0,0.0,0.0,14421.0,38196.0,1541774283.488
8.886,12.202,74.271,0.0,0.0,4.642,35874514.0,96645314.0,0.0,0.0,0.0,0.0,14880.0,39297.0,1541774284.488
9.932,11.293,74.558,0.0,0.0,4.218,35296027.0,94747190.0,0.0,0.0,0.0,0.0,15033.0,39195.0,1541774285.488
8.522,13.316,74.168,0.0,0.0,3.995,36046378.0,96898962.0,0.0,0.0,0.0,0.0,15456.0,40297.0,1541774286.488
8.075,11.440,77.524,0.0,0.0,2.961,33945364.0,91488965.0,0.0,0.0,0.0,0.0,14229.0,37439.0,1541774287.488
9.537,11.308,75.477,0.0,0.0,3.678,35136973.0,94212877.0,0.0,0.0,0.0,0.0,15181.0,39544.0,1541774288.488
9.277,11.596,74.898,0.0,0.0,4.229,36967109.0,99276037.0,0.0,0.0,0.0,0.0,15062.0,40014.0,1541774289.488
7.755,11.156,77.415,0.0,0.0,3.673,35335900.0,95276683.0,0.0,0.0,0.0,0.0,14890.0,38987.0,1541774290.488
8.133,12.800,75.733,0.0,0.0,3.333,36144474.0,97307414.0,0.0,0.0,0.0,0.0,15128.0,40019.0,1541774291.488
