"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:0_vc_4_worker_64_rep_2.csv -T 1 90",,,,"Date:","09 Nov 2018 12:51:49 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
2.566,2.178,94.031,0.646,0.0,0.580,0.0,0.0,59944.060,1308190.655,0.0,0.0,3755.088,11256.841,1541767909.332
38.796,6.443,50.980,0.0,0.0,3.782,11157798.0,29921689.0,0.0,0.0,0.0,0.0,5988.0,17322.0,1541767910.333
33.568,5.360,57.687,0.0,0.0,3.385,15196407.0,40819262.0,0.0,0.0,0.0,0.0,8349.0,22866.0,1541767911.333
12.005,5.805,78.232,0.0,0.0,3.958,18992602.0,50890573.0,0.0,0.0,0.0,0.0,11390.0,28518.0,1541767912.333
6.115,6.752,83.312,0.0,0.0,3.822,20606770.0,55292477.0,0.0,0.0,0.0,0.0,12869.0,31084.0,1541767913.333
6.242,6.242,84.076,0.0,0.0,3.439,21158810.0,56697587.0,0.0,0.0,0.0,0.0,13429.0,31768.0,1541767914.333
4.627,4.756,86.375,0.0,0.0,4.242,19449483.0,52098796.0,0.0,0.0,0.0,0.0,12488.0,29425.0,1541767915.333
5.814,5.685,85.271,0.0,0.0,3.230,20736163.0,55662015.0,0.0,0.0,0.0,0.0,13212.0,31344.0,1541767916.333
5.223,6.752,83.694,0.0,0.0,4.331,21185687.0,56770886.0,0.0,0.0,0.0,0.0,13578.0,32210.0,1541767917.333
4.627,5.527,86.632,0.0,0.0,3.213,19975650.0,53575868.0,0.0,0.0,0.0,0.0,12782.0,30218.0,1541767918.333
5.344,5.344,85.496,0.0,0.0,3.817,19771284.0,53024042.0,0.0,0.0,0.0,0.0,12758.0,29997.0,1541767919.333
5.703,5.703,84.411,0.0,0.0,4.183,20828260.0,55837831.0,0.0,0.0,0.0,0.0,13269.0,31348.0,1541767920.333
5.556,4.780,85.659,0.129,0.0,3.876,19828997.0,53142593.0,0.0,65536.0,0.0,0.0,12599.0,29650.0,1541767921.333
4.847,5.867,85.204,0.0,0.0,4.082,20348661.0,54570913.0,0.0,0.0,0.0,0.0,12975.0,30645.0,1541767922.333
4.847,6.505,85.204,0.0,0.0,3.444,20905086.0,56074576.0,0.0,0.0,0.0,0.0,13434.0,31646.0,1541767923.333
5.821,5.951,84.864,0.0,0.0,3.364,20765319.0,55656958.0,0.0,57344.0,0.0,0.0,12945.0,30855.0,1541767924.333
5.290,5.032,86.839,0.0,0.0,2.839,18484541.0,49576010.0,0.0,0.0,0.0,0.0,11707.0,27971.0,1541767925.333
3.974,5.513,87.179,0.0,0.0,3.333,18830199.0,50456240.0,0.0,0.0,0.0,0.0,12101.0,28727.0,1541767926.333
5.203,6.091,84.010,0.0,0.0,4.695,19022854.0,51003853.0,0.0,0.0,0.0,0.0,11974.0,28667.0,1541767927.333
3.562,5.852,87.023,0.0,0.0,3.562,17251584.0,46355065.0,0.0,0.0,0.0,0.0,10943.0,26223.0,1541767928.333
3.581,4.859,86.957,0.0,0.0,4.604,17902466.0,47910089.0,0.0,0.0,0.0,0.0,11621.0,27708.0,1541767929.333
4.464,5.230,86.480,0.0,0.0,3.827,19110340.0,51350056.0,0.0,8192.0,0.0,0.0,11839.0,28201.0,1541767930.333
3.694,6.242,86.369,0.0,0.0,3.694,18841209.0,50456101.0,0.0,0.0,0.0,0.0,11938.0,28384.0,1541767931.333
4.719,5.740,85.459,0.0,0.0,4.082,20164342.0,54117677.0,0.0,0.0,0.0,0.0,13115.0,30852.0,1541767932.333
4.150,4.929,87.419,0.0,0.0,3.502,20080820.0,53861210.0,0.0,0.0,0.0,0.0,12759.0,30340.0,1541767933.333
4.816,5.196,85.805,0.0,0.0,4.183,19550520.0,52360512.0,0.0,0.0,0.0,0.0,12561.0,29800.0,1541767934.333
4.528,4.916,87.581,0.0,0.0,2.975,19597243.0,52545888.0,0.0,0.0,0.0,0.0,12426.0,29527.0,1541767935.333
4.264,4.651,87.597,0.0,0.0,3.488,19261724.0,51684348.0,0.0,0.0,0.0,0.0,12146.0,28965.0,1541767936.333
3.985,4.884,87.404,0.0,0.0,3.728,19665085.0,52690839.0,0.0,0.0,0.0,0.0,12462.0,29559.0,1541767937.333
4.376,4.891,87.516,0.0,0.0,3.218,19324948.0,51877404.0,0.0,0.0,0.0,0.0,12150.0,28861.0,1541767938.332
3.680,4.949,86.929,0.0,0.0,4.442,17736910.0,47538555.0,0.0,0.0,0.0,0.0,11209.0,26762.0,1541767939.333
3.752,4.398,88.616,0.129,0.0,3.105,18095200.0,48565235.0,0.0,11046912.0,0.0,0.0,11369.0,27061.0,1541767940.333
4.689,6.084,85.805,0.0,0.0,3.422,19577277.0,52377688.0,0.0,0.0,0.0,0.0,12446.0,29572.0,1541767941.333
4.684,6.076,85.190,0.0,0.0,4.051,19990015.0,53695012.0,0.0,0.0,0.0,0.0,12648.0,30095.0,1541767942.333
4.627,4.884,86.761,0.0,0.0,3.728,20290967.0,54420940.0,0.0,0.0,0.0,0.0,13044.0,30832.0,1541767943.333
4.253,5.670,85.954,0.0,0.0,4.124,19784091.0,53044232.0,0.0,0.0,0.0,0.0,12749.0,30162.0,1541767944.333
4.342,5.747,86.590,0.0,0.0,3.321,19473589.0,52209792.0,0.0,0.0,0.0,0.0,12569.0,29567.0,1541767945.333
4.442,4.949,86.168,0.0,0.0,4.442,19948897.0,53472879.0,0.0,0.0,0.0,0.0,12822.0,30167.0,1541767946.335
4.302,5.215,87.223,0.0,0.0,3.259,19719085.0,52849403.0,0.0,0.0,0.0,0.0,12686.0,30005.0,1541767947.333
4.177,5.696,85.570,0.0,0.0,4.557,19838589.0,53167385.0,0.0,0.0,0.0,0.0,12661.0,29970.0,1541767948.333
4.097,4.994,86.556,0.0,0.0,4.353,19649253.0,52665530.0,0.0,0.0,0.0,0.0,12793.0,30121.0,1541767949.333
3.901,5.592,87.256,0.0,0.0,3.251,20506156.0,55048672.0,0.0,0.0,0.0,0.0,13310.0,31323.0,1541767950.333
5.230,3.827,84.184,2.296,0.0,4.464,18527686.0,49716987.0,0.0,57344.0,0.0,0.0,12052.0,28562.0,1541767951.333
6.065,4.903,85.806,0.0,0.0,3.226,19335076.0,51844012.0,0.0,0.0,0.0,0.0,12325.0,29052.0,1541767952.333
4.103,4.872,86.538,0.0,0.0,4.487,20652198.0,55361033.0,0.0,0.0,0.0,0.0,13386.0,31552.0,1541767953.333
3.604,5.920,87.001,0.0,0.0,3.475,20365233.0,54515285.0,0.0,0.0,0.0,0.0,13122.0,31000.0,1541767954.333
3.876,4.651,88.114,0.0,0.0,3.359,19168154.0,51467191.0,0.0,0.0,0.0,0.0,12049.0,28618.0,1541767955.333
4.082,4.847,87.245,0.0,0.0,3.827,18563686.0,49766718.0,0.0,0.0,0.0,0.0,12081.0,28558.0,1541767956.333
4.866,5.122,85.915,0.0,0.0,4.097,19477747.0,52250158.0,0.0,0.0,0.0,0.0,12597.0,29873.0,1541767957.333
5.183,5.942,85.967,0.0,0.0,2.908,19983486.0,53585246.0,0.0,0.0,0.0,0.0,12521.0,29732.0,1541767958.333
3.627,5.052,87.435,0.0,0.0,3.886,19017591.0,50941456.0,0.0,0.0,0.0,0.0,12308.0,29232.0,1541767959.333
4.124,5.541,87.242,0.0,0.0,3.093,20193545.0,54202139.0,0.0,0.0,0.0,0.0,12877.0,30538.0,1541767960.333
3.856,5.270,87.018,0.0,0.0,3.856,20244457.0,54175610.0,0.0,0.0,0.0,0.0,12802.0,30443.0,1541767961.333
3.781,5.085,87.614,0.0,0.0,3.520,20413380.0,54845659.0,0.0,0.0,0.0,0.0,12947.0,30553.0,1541767962.333
4.397,6.658,85.050,0.0,0.0,3.894,20213643.0,54114183.0,0.0,0.0,0.0,0.0,13066.0,30843.0,1541767963.333
